Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1, 720,9960.0,0.018255,545603.944125,553328.0,1.0,2,6.1e-05,545603.944125,545603.944125,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z2,0,1, 720,8952.0,0.026344,339811.721834,344304.0,1.0,2,6.1e-05,169905.860917,169905.860917,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z2,1,1, 720,5424.0,0.000811,6688039.45746,5424000.0,1.0,2,6.1e-05,2229346.48582,2229346.48582,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z2,2,1, 720,7080.0,0.000898,7884187.082405,7080000.0,1.0,2,6.1e-05,1971046.770601,1971046.770601,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z2,3,1, 720,18976.0,0.000936,20273504.273504,18976000.0,1.0,2,6.1e-05,4054700.854701,4054700.854701,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z2,4,1, 720,8720.0,0.208793,41763.852236,41920.0,1.0,2,6.1e-05,8352.770447,8352.770447,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z2,5,1, 720,8336.0,0.000877,9505131.128848,8336000.0,1.0,2,6.1e-05,1901026.22577,1901026.22577,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z2,6,1, 720,6376.0,0.000842,7572446.555819,6376000.0,1.0,2,6.1e-05,1514489.311164,1514489.311164,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z2,7,1, 720,6872.0,0.000887,7747463.359639,6872000.0,1.0,2,6.1e-05,1549492.671928,1549492.671928,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,0,1, 720,7080.0,0.022036,321292.430568,321816.0,1.0,2,6.1e-05,64258.486114,64258.486114,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,1,1, 720,7080.0,0.000928,7629310.344828,7080000.0,1.0,2,6.1e-05,1525862.068966,1525862.068966,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,2,1, 720,5664.0,0.000881,6429057.888763,5664000.0,1.0,2,6.1e-05,1285811.577753,1285811.577753,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,3,1, 720,7080.0,0.000917,7720828.789531,7080000.0,1.0,2,6.1e-05,1544165.757906,1544165.757906,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,4,1, 720,7080.0,0.206815,34233.493702,34368.0,1.0,2,6.1e-05,6846.69874,6846.69874,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,5,1, 720,5664.0,0.0009,6293333.333333,5664000.0,1.0,2,6.1e-05,1258666.666667,1258666.666667,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,6,1, 720,7080.0,0.000923,7670639.219935,7080000.0,1.0,2,6.1e-05,1534127.843987,1534127.843987,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,7,1, 720,7080.0,0.000926,7645788.336933,7080000.0,1.0,2,6.1e-05,1529157.667387,1529157.667387,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,8,1, 720,5664.0,0.000875,6473142.857143,5664000.0,1.0,2,6.1e-05,1294628.571429,1294628.571429,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,9,1, 720,7080.0,0.00095,7452631.578947,7080000.0,1.0,2,6.1e-05,1490526.315789,1490526.315789,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,10,1, 720,12904.0,0.000981,13153924.566769,12904000.0,1.0,2,6.1e-05,2630784.913354,2630784.913354,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,11,1, 720,17344.0,0.000872,19889908.256881,17344000.0,1.0,2,6.1e-05,3977981.651376,3977981.651376,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,12,1, 720,16912.0,0.00091,18584615.384615,16912000.0,1.0,2,6.1e-05,3716923.076923,3716923.076923,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,13,1, 720,13240.0,0.000817,16205630.354957,13240000.0,1.0,2,6.1e-05,3241126.070991,3241126.070991,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,14,1, 720,28328.0,0.000882,32117913.8322,28328000.0,1.0,2,6.1e-05,6423582.76644,6423582.76644,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,15,1, 720,30528.0,0.00102,29929411.764706,30528000.0,1.0,2,6.1e-05,5985882.352941,5985882.352941,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,16,1, 720,16360.0,0.000876,18675799.086758,16360000.0,1.0,2,6.1e-05,3735159.817352,3735159.817352,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,17,1, 720,33216.0,0.208749,159119.325123,159688.0,1.0,2,6.1e-05,31823.865025,31823.865025,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,18,1, 720,28000.0,0.001015,27586206.896552,28000000.0,1.0,2,6.1e-05,5517241.37931,5517241.37931,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,19,1, 720,15744.0,0.000968,16264462.809917,15744000.0,1.0,2,6.1e-05,3252892.561983,3252892.561983,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,20,1, 720,16024.0,0.001008,15896825.396825,16024000.0,1.0,2,6.1e-05,3179365.079365,3179365.079365,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,21,1, 720,11576.0,0.00092,12582608.695652,11576000.0,1.0,2,6.1e-05,2516521.73913,2516521.73913,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,22,1, 720,10816.0,0.000952,11361344.537815,10816000.0,1.0,2,6.1e-05,2272268.907563,2272268.907563,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
Z3,23,1, 720,13224.0,0.000911,14515916.575192,13224000.0,1.0,2,6.1e-05,2903183.315038,2903183.315038,1452743531.9617968,3475408810.742505,66667733.928698905,4686920394.039025,24913573181.846107,0,0,3
