Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.323686, 30770.561594, 30832.000000, 1.000000, 2, 0.000062, 30770.561594, 30770.561594
Z2, 0, 1, 720, 8952.000000, 0.324752, 27565.650096, 27624.000000, 1.000000, 2, 0.000062, 13782.825048, 13782.825048
Z2, 1, 1, 720, 5424.000000, 0.100818, 53799.916682, 54240.000000, 1.000000, 2, 0.000062, 17933.305561, 17933.305561
Z2, 2, 1, 720, 7080.000000, 0.100957, 70128.866745, 70800.000000, 1.000000, 2, 0.000062, 17532.216686, 17532.216686
Z2, 3, 1, 720, 18976.000000, 0.100982, 187914.677863, 189760.000000, 1.000000, 2, 0.000062, 37582.935573, 37582.935573
Z2, 4, 1, 720, 8720.000000, 0.416185, 20952.220767, 20960.000000, 1.000000, 2, 0.000062, 4190.444153, 4190.444153
Z2, 5, 1, 720, 8336.000000, 0.100947, 82577.986468, 83360.000000, 1.000000, 2, 0.000062, 16515.597294, 16515.597294
Z2, 6, 1, 720, 6376.000000, 0.100898, 63192.531071, 63760.000000, 1.000000, 2, 0.000062, 12638.506214, 12638.506214
Z2, 7, 1, 720, 6872.000000, 0.100791, 68180.690736, 68720.000000, 1.000000, 2, 0.000062, 13636.138147, 13636.138147
Z3, 0, 1, 720, 7080.000000, 0.321980, 21988.943413, 22056.000000, 1.000000, 2, 0.000062, 4397.788683, 4397.788683
Z3, 1, 1, 720, 7080.000000, 0.100979, 70113.587974, 70800.000000, 1.000000, 2, 0.000062, 14022.717595, 14022.717595
Z3, 2, 1, 720, 5664.000000, 0.100886, 56142.576770, 56640.000000, 1.000000, 2, 0.000062, 11228.515354, 11228.515354
Z3, 3, 1, 720, 7080.000000, 0.100766, 70261.794653, 70800.000000, 1.000000, 2, 0.000062, 14052.358931, 14052.358931
Z3, 4, 1, 720, 7080.000000, 0.100876, 70185.177842, 70800.000000, 1.000000, 2, 0.000062, 14037.035568, 14037.035568
Z3, 5, 1, 720, 5664.000000, 0.100930, 56118.101655, 56640.000000, 1.000000, 2, 0.000062, 11223.620331, 11223.620331
Z3, 6, 1, 720, 7080.000000, 0.100934, 70144.847128, 70800.000000, 1.000000, 2, 0.000062, 14028.969426, 14028.969426
Z3, 7, 1, 720, 7080.000000, 0.100960, 70126.782884, 70800.000000, 1.000000, 2, 0.000062, 14025.356577, 14025.356577
Z3, 8, 1, 720, 5664.000000, 0.100934, 56115.877702, 56640.000000, 1.000000, 2, 0.000062, 11223.175540, 11223.175540
Z3, 9, 1, 720, 7080.000000, 0.100965, 70123.310058, 70800.000000, 1.000000, 2, 0.000062, 14024.662012, 14024.662012
Z3, 10, 1, 720, 12904.000000, 0.101092, 127646.104538, 127760.000000, 1.000000, 2, 0.000062, 25529.220908, 25529.220908
Z3, 11, 1, 720, 17344.000000, 0.101012, 171702.371995, 171720.000000, 1.000000, 2, 0.000062, 34340.474399, 34340.474399
Z3, 12, 1, 720, 16912.000000, 0.100898, 167614.818926, 169120.000000, 1.000000, 2, 0.000062, 33522.963785, 33522.963785
Z3, 13, 1, 720, 13240.000000, 0.101000, 131089.108911, 131088.000000, 1.000000, 2, 0.000062, 26217.821782, 26217.821782
Z3, 14, 1, 720, 28328.000000, 0.101113, 280161.799175, 280472.000000, 1.000000, 2, 0.000062, 56032.359835, 56032.359835
Z3, 15, 1, 720, 30528.000000, 0.100975, 302332.260461, 305280.000000, 1.000000, 2, 0.000062, 60466.452092, 60466.452092
Z3, 16, 1, 720, 16360.000000, 0.101022, 161944.922888, 161976.000000, 1.000000, 2, 0.000062, 32388.984578, 32388.984578
Z3, 17, 1, 720, 33216.000000, 0.101337, 327777.613310, 328864.000000, 1.000000, 2, 0.000062, 65555.522662, 65555.522662
Z3, 18, 1, 720, 28000.000000, 0.101082, 277002.829386, 277224.000000, 1.000000, 2, 0.000062, 55400.565877, 55400.565877
