Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 10.025766, 993.440302, 992.000000, 1.000000, 2, 0.000055, 993.440302, 993.440302
Z2, 0, 1, 720, 8952.000000, 10.025678, 892.907193, 888.000000, 1.000000, 2, 0.000055, 446.453596, 446.453596
Z2, 1, 1, 720, 5424.000000, 2.003603, 2707.123118, 2704.000000, 1.000000, 2, 0.000055, 902.374373, 902.374373
Z2, 2, 1, 720, 7080.000000, 2.003756, 3533.364342, 3528.000000, 1.000000, 2, 0.000055, 883.341085, 883.341085
Z2, 3, 1, 720, 18976.000000, 2.003772, 9470.139317, 9472.000000, 1.000000, 2, 0.000055, 1894.027863, 1894.027863
Z2, 4, 1, 720, 8720.000000, 2.003728, 4351.888081, 4352.000000, 1.000000, 2, 0.000055, 870.377616, 870.377616
Z2, 5, 1, 720, 8336.000000, 2.003760, 4160.178864, 4160.000000, 1.000000, 2, 0.000055, 832.035773, 832.035773
Z2, 6, 1, 720, 6376.000000, 2.003741, 3182.047979, 3176.000000, 1.000000, 2, 0.000055, 636.409596, 636.409596
Z2, 7, 1, 720, 6872.000000, 2.003754, 3429.562711, 3424.000000, 1.000000, 2, 0.000055, 685.912542, 685.912542
Z3, 0, 1, 720, 7080.000000, 10.025878, 706.172567, 704.000000, 1.000000, 2, 0.000055, 141.234513, 141.234513
Z3, 1, 1, 720, 7080.000000, 2.003748, 3533.378449, 3528.000000, 1.000000, 2, 0.000055, 706.675690, 706.675690
Z3, 2, 1, 720, 5664.000000, 2.003755, 2826.692884, 2824.000000, 1.000000, 2, 0.000055, 565.338577, 565.338577
Z3, 3, 1, 720, 7080.000000, 2.003618, 3533.607704, 3528.000000, 1.000000, 2, 0.000055, 706.721541, 706.721541
Z3, 4, 1, 720, 7080.000000, 2.003621, 3533.602413, 3528.000000, 1.000000, 2, 0.000055, 706.720483, 706.720483
Z3, 5, 1, 720, 5664.000000, 2.003487, 2827.071002, 2824.000000, 1.000000, 2, 0.000055, 565.414200, 565.414200
Z3, 6, 1, 720, 7080.000000, 2.003753, 3533.369632, 3528.000000, 1.000000, 2, 0.000055, 706.673926, 706.673926
Z3, 7, 1, 720, 7080.000000, 2.003759, 3533.359052, 3528.000000, 1.000000, 2, 0.000055, 706.671810, 706.671810
Z3, 8, 1, 720, 5664.000000, 2.003744, 2826.708402, 2824.000000, 1.000000, 2, 0.000055, 565.341680, 565.341680
Z3, 9, 1, 720, 7080.000000, 2.003623, 3533.598886, 3528.000000, 1.000000, 2, 0.000055, 706.719777, 706.719777
Z3, 10, 1, 720, 12904.000000, 2.003766, 6439.873718, 6440.000000, 1.000000, 2, 0.000055, 1287.974744, 1287.974744
Z3, 11, 1, 720, 17344.000000, 2.003754, 8655.753151, 8656.000000, 1.000000, 2, 0.000055, 1731.150630, 1731.150630
Z3, 12, 1, 720, 16912.000000, 2.003747, 8440.187309, 8440.000000, 1.000000, 2, 0.000055, 1688.037462, 1688.037462
Z3, 13, 1, 720, 13240.000000, 2.003759, 6607.581051, 6608.000000, 1.000000, 2, 0.000055, 1321.516210, 1321.516210
Z3, 14, 1, 720, 28328.000000, 2.003621, 14138.402422, 14136.000000, 1.000000, 2, 0.000055, 2827.680484, 2827.680484
Z3, 15, 1, 720, 30528.000000, 2.003759, 15235.365131, 15240.000000, 1.000000, 2, 0.000055, 3047.073026, 3047.073026
Z3, 16, 1, 720, 16360.000000, 2.003740, 8164.731951, 8160.000000, 1.000000, 2, 0.000055, 1632.946390, 1632.946390
Z3, 17, 1, 720, 33216.000000, 2.003768, 16576.769367, 16576.000000, 1.000000, 2, 0.000055, 3315.353873, 3315.353873
Z3, 18, 1, 720, 28000.000000, 2.003747, 13973.820048, 13976.000000, 1.000000, 2, 0.000055, 2794.764010, 2794.764010
Z3, 19, 1, 720, 15744.000000, 2.003744, 7857.291151, 7856.000000, 1.000000, 2, 0.000055, 1571.458230, 1571.458230
Z3, 20, 1, 720, 16024.000000, 2.003625, 7997.504523, 8000.000000, 1.000000, 2, 0.000055, 1599.500905, 1599.500905
Z3, 21, 1, 720, 11576.000000, 2.003744, 5777.185109, 5776.000000, 1.000000, 2, 0.000055, 1155.437022, 1155.437022
Z3, 22, 1, 720, 10816.000000, 2.003757, 5397.860120, 5392.000000, 1.000000, 2, 0.000055, 1079.572024, 1079.572024
Z3, 23, 1, 720, 13224.000000, 2.003750, 6599.625702, 6600.000000, 1.000000, 2, 0.000055, 1319.925140, 1319.925140
Z3, 24, 1, 720, 17528.000000, 2.003753, 8747.585156, 8744.000000, 1.000000, 2, 0.000055, 1749.517031, 1749.517031
Z3, 25, 1, 720, 23824.000000, 2.003617, 11890.496038, 11888.000000, 1.000000, 2, 0.000055, 2378.099208, 2378.099208
Z3, 26, 1, 720, 11024.000000, 2.003749, 5501.687088, 5496.000000, 1.000000, 2, 0.000055, 1100.337418, 1100.337418
Z3, 27, 1, 720, 15112.000000, 2.003359, 7543.330976, 7544.000000, 1.000000, 2, 0.000055, 1508.666195, 1508.666195
Z3, 28, 1, 720, 24552.000000, 2.003757, 12252.982772, 12256.000000, 1.000000, 2, 0.000055, 2450.596554, 2450.596554
Z3, 29, 1, 720, 10824.000000, 2.003746, 5401.882274, 5400.000000, 1.000000, 2, 0.000055, 1080.376455, 1080.376455
Z3, 30, 1, 720, 6872.000000, 2.003480, 3430.031745, 3424.000000, 1.000000, 2, 0.000055, 686.006349, 686.006349
Z3, 31, 1, 720, 6872.000000, 2.003626, 3429.781806, 3424.000000, 1.000000, 2, 0.000055, 685.956361, 685.956361
Z3, 32, 1, 720, 6376.000000, 2.003741, 3182.047979, 3176.000000, 1.000000, 2, 0.000055, 636.409596, 636.409596
Z3, 33, 1, 720, 6872.000000, 2.003751, 3429.567846, 3424.000000, 1.000000, 2, 0.000055, 685.913569, 685.913569
Z3, 34, 1, 720, 6872.000000, 2.003097, 3430.687580, 3424.000000, 1.000000, 2, 0.000055, 686.137516, 686.137516
Z3, 35, 1, 720, 6376.000000, 2.003623, 3182.235381, 3176.000000, 1.000000, 2, 0.000055, 636.447076, 636.447076
Z3, 36, 1, 720, 6872.000000, 2.003623, 3429.786941, 3424.000000, 1.000000, 2, 0.000055, 685.957388, 685.957388
Z3, 37, 1, 720, 6872.000000, 2.003638, 3429.761264, 3424.000000, 1.000000, 2, 0.000055, 685.952253, 685.952253
Z3, 38, 1, 720, 6376.000000, 2.003598, 3182.275087, 3176.000000, 1.000000, 2, 0.000055, 636.455017, 636.455017
Z1, 0, 2, 720, 9320.000000, 10.025263, 929.651422, 928.000000, 1.000000, 2, 120.252014, 822.385302, 822.385302
Z2, 0, 2, 720, 6624.000000, 10.026516, 660.648225, 656.000000, 1.000000, 2, 120.252014, 768.584662, 768.584662
Z2, 1, 2, 720, 5424.000000, 2.003743, 2706.933973, 2704.000000, 1.000000, 2, 120.252014, 1177.841812, 1177.841812
Z2, 2, 2, 720, 7080.000000, 2.003706, 3533.452512, 3528.000000, 1.000000, 2, 120.252014, 1343.145520, 1343.145520
Z2, 3, 2, 720, 18392.000000, 2.003764, 9178.725638, 9176.000000, 1.000000, 2, 120.252014, 2472.200145, 2472.200145
Z2, 4, 2, 720, 9160.000000, 2.003007, 4573.124308, 4568.000000, 1.000000, 2, 120.252014, 1551.079879, 1551.079879
Z2, 5, 2, 720, 8048.000000, 2.003748, 4016.473129, 4016.000000, 1.000000, 2, 120.252014, 1439.749643, 1439.749643
Z2, 6, 2, 720, 6376.000000, 2.003743, 3182.044803, 3176.000000, 1.000000, 2, 120.252014, 1272.863978, 1272.863978
