Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.922701, 10794.396018, 10800.000000, 1.000000, 2, 0.000055, 10794.396018, 10794.396018
Z2, 0, 1, 720, 8952.000000, 0.922760, 9701.330790, 9704.000000, 1.000000, 2, 0.000055, 4850.665395, 4850.665395
Z2, 1, 1, 720, 5424.000000, 0.303618, 17864.553485, 17896.000000, 1.000000, 2, 0.000055, 5954.851162, 5954.851162
Z2, 2, 1, 720, 7080.000000, 0.303558, 23323.384658, 23360.000000, 1.000000, 2, 0.000055, 5830.846164, 5830.846164
Z2, 3, 1, 720, 18976.000000, 0.303668, 62489.297522, 62624.000000, 1.000000, 2, 0.000055, 12497.859504, 12497.859504
Z2, 4, 1, 720, 8720.000000, 0.303634, 28718.786434, 28776.000000, 1.000000, 2, 0.000055, 5743.757287, 5743.757287
Z2, 5, 1, 720, 8336.000000, 0.303526, 27463.874594, 27504.000000, 1.000000, 2, 0.000055, 5492.774919, 5492.774919
Z2, 6, 1, 720, 6376.000000, 0.303780, 20988.873527, 21040.000000, 1.000000, 2, 0.000055, 4197.774705, 4197.774705
Z2, 7, 1, 720, 6872.000000, 0.303392, 22650.564286, 22672.000000, 1.000000, 2, 0.000055, 4530.112857, 4530.112857
Z3, 0, 1, 720, 7080.000000, 0.922731, 7672.875410, 7672.000000, 1.000000, 2, 0.000055, 1534.575082, 1534.575082
Z3, 1, 1, 720, 7080.000000, 0.303756, 23308.181567, 23360.000000, 1.000000, 2, 0.000055, 4661.636313, 4661.636313
Z3, 2, 1, 720, 5664.000000, 0.303658, 18652.563081, 18688.000000, 1.000000, 2, 0.000055, 3730.512616, 3730.512616
Z3, 3, 1, 720, 7080.000000, 0.303669, 23314.859271, 23360.000000, 1.000000, 2, 0.000055, 4662.971854, 4662.971854
Z3, 4, 1, 720, 7080.000000, 0.303632, 23317.700374, 23360.000000, 1.000000, 2, 0.000055, 4663.540075, 4663.540075
Z3, 5, 1, 720, 5664.000000, 0.303650, 18653.054504, 18688.000000, 1.000000, 2, 0.000055, 3730.610901, 3730.610901
Z3, 6, 1, 720, 7080.000000, 0.303665, 23315.166384, 23360.000000, 1.000000, 2, 0.000055, 4663.033277, 4663.033277
Z3, 7, 1, 720, 7080.000000, 0.302207, 23427.650584, 23440.000000, 1.000000, 2, 0.000055, 4685.530117, 4685.530117
Z3, 8, 1, 720, 5664.000000, 0.303512, 18661.535623, 18688.000000, 1.000000, 2, 0.000055, 3732.307125, 3732.307125
Z3, 9, 1, 720, 7080.000000, 0.303522, 23326.150987, 23360.000000, 1.000000, 2, 0.000055, 4665.230197, 4665.230197
Z3, 10, 1, 720, 12904.000000, 0.303818, 42472.796214, 42584.000000, 1.000000, 2, 0.000055, 8494.559243, 8494.559243
Z3, 11, 1, 720, 17344.000000, 0.303634, 57121.402741, 57240.000000, 1.000000, 2, 0.000055, 11424.280548, 11424.280548
Z3, 12, 1, 720, 16912.000000, 0.303650, 55695.702289, 55808.000000, 1.000000, 2, 0.000055, 11139.140458, 11139.140458
Z3, 13, 1, 720, 13240.000000, 0.303654, 43602.257833, 43696.000000, 1.000000, 2, 0.000055, 8720.451567, 8720.451567
