Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,qt_sw,QoE,delay,jitter,loss
Z1,0,1,720,9960.0,2.12284,4691.827929,4688.0,1.0,2,5.5e-05,4691.827929,4691.827929,0.0,4532.5534436,300,0,0
Z2,0,1,720,8952.0,2.12234,4217.985808,4216.0,1.0,2,5.5e-05,2108.992904,2108.992904,0.0,4058.7113226,300,0,0
Z2,1,1,720,5424.0,0.703674,7708.114837,7712.0,1.0,2,5.5e-05,2569.371612,2569.371612,0.0,7548.8403516,300,0,0
Z2,2,1,720,7080.0,0.70379,10059.81898,10064.0,1.0,2,5.5e-05,2514.954745,2514.954745,0.0,9900.5444946,300,0,0
Z2,3,1,720,18976.0,0.703815,26961.630542,26992.0,1.0,2,5.5e-05,5392.326108,5392.326108,0.0,26802.356056599998,300,0,0
Z2,4,1,720,8720.0,0.70379,12390.059535,12400.0,1.0,2,5.5e-05,2478.011907,2478.011907,0.0,12230.785049600001,300,0,0
Z2,5,1,720,8336.0,0.703549,11848.499536,11856.0,1.0,2,5.5e-05,2369.699907,2369.699907,0.0,11689.2250506,300,0,0
Z2,6,1,720,6376.0,0.703542,9062.714095,9064.0,1.0,2,5.5e-05,1812.542819,1812.542819,0.0,8903.4396096,300,0,0
Z2,7,1,720,6872.0,0.703658,9766.107967,9768.0,1.0,2,5.5e-05,1953.221593,1953.221593,0.0,9606.8334816,300,0,0
Z3,0,1,720,7080.0,2.122665,3335.429755,3336.0,1.0,2,5.5e-05,667.085951,667.085951,0.0,3176.1552696,300,0,0
Z3,1,1,720,7080.0,0.703669,10061.548825,10064.0,1.0,2,5.5e-05,2012.309765,2012.309765,0.0,9902.2743396,300,0,0
Z3,2,1,720,5664.0,0.703681,8049.101795,8056.0,1.0,2,5.5e-05,1609.820359,1609.820359,0.0,7889.827309599999,300,0,0
Z3,3,1,720,7080.0,0.70354,10063.393695,10064.0,1.0,2,5.5e-05,2012.678739,2012.678739,0.0,9904.119209600001,300,0,0
Z3,4,1,720,7080.0,0.703684,10061.334349,10064.0,1.0,2,5.5e-05,2012.26687,2012.26687,0.0,9902.059863600001,300,0,0
Z3,5,1,720,5664.0,0.703671,8049.216182,8056.0,1.0,2,5.5e-05,1609.843236,1609.843236,0.0,7889.9416966,300,0,0
Z3,6,1,720,7080.0,0.703678,10061.420138,10064.0,1.0,2,5.5e-05,2012.284028,2012.284028,0.0,9902.1456526,300,0,0
Z3,7,1,720,7080.0,0.703678,10061.420138,10064.0,1.0,2,5.5e-05,2012.284028,2012.284028,0.0,9902.1456526,300,0,0
Z3,8,1,720,5664.0,0.703549,8050.611969,8056.0,1.0,2,5.5e-05,1610.122394,1610.122394,0.0,7891.337483599999,300,0,0
Z3,9,1,720,7080.0,0.703932,10057.789673,10064.0,1.0,2,5.5e-05,2011.557935,2011.557935,0.0,9898.5151876,300,0,0
Z3,10,1,720,12904.0,0.703686,18337.724496,18352.0,1.0,2,5.5e-05,3667.544899,3667.544899,0.0,18178.450010599998,300,0,0
Z3,11,1,720,17344.0,0.703684,24647.42697,24664.0,1.0,2,5.5e-05,4929.485394,4929.485394,0.0,24488.1524846,300,0,0
Z3,12,1,720,16912.0,0.70367,24033.993207,24056.0,1.0,2,5.5e-05,4806.798641,4806.798641,0.0,23874.7187216,300,0,0
Z3,13,1,720,13240.0,0.703547,18818.92752,18832.0,1.0,2,5.5e-05,3763.785504,3763.785504,0.0,18659.6530346,300,0,0
Z3,14,1,720,28328.0,0.703811,40249.441967,40288.0,1.0,2,5.5e-05,8049.888393,8049.888393,0.0,40090.1674816,300,0,0
Z3,15,1,720,30528.0,0.703683,43383.171115,43424.0,1.0,2,5.5e-05,8676.634223,8676.634223,0.0,43223.8966296,300,0,0
Z3,16,1,720,16360.0,0.703666,23249.666745,23264.0,1.0,2,5.5e-05,4649.933349,4649.933349,0.0,23090.392259599997,300,0,0
Z3,17,1,720,33216.0,0.703553,47211.794989,47248.0,1.0,2,5.5e-05,9442.358998,9442.358998,0.0,47052.520503600004,300,0,0
Z3,18,1,720,28000.0,0.703675,39791.096742,39824.0,1.0,2,5.5e-05,7958.219348,7958.219348,0.0,39631.822256600004,300,0,0
Z3,19,1,720,15744.0,0.703669,22374.156031,22392.0,1.0,2,5.5e-05,4474.831206,4474.831206,0.0,22214.881545599997,300,0,0
Z3,20,1,720,16024.0,0.703551,22775.889736,22792.0,1.0,2,5.5e-05,4555.177947,4555.177947,0.0,22616.6152506,300,0,0
Z3,21,1,720,11576.0,0.703674,16450.79966,16464.0,1.0,2,5.5e-05,3290.159932,3290.159932,0.0,16291.525174600001,300,0,0
Z3,22,1,720,10816.0,0.703632,15371.671556,15384.0,1.0,2,5.5e-05,3074.334311,3074.334311,0.0,15212.3970706,300,0,0
Z3,23,1,720,13224.0,0.703342,18801.664055,18808.0,1.0,2,5.5e-05,3760.332811,3760.332811,0.0,18642.3895696,300,0,0
Z3,24,1,720,17528.0,0.703285,24923.039735,24928.0,1.0,2,5.5e-05,4984.607947,4984.607947,0.0,24763.765249599997,300,0,0
Z3,25,1,720,23824.0,0.703679,33856.346431,33888.0,1.0,2,5.5e-05,6771.269286,6771.269286,0.0,33697.0719456,300,0,0
Z3,26,1,720,11024.0,0.703673,15666.367759,15680.0,1.0,2,5.5e-05,3133.273552,3133.273552,0.0,15507.093273600001,300,0,0
Z3,27,1,720,15112.0,0.703693,21475.274019,21496.0,1.0,2,5.5e-05,4295.054804,4295.054804,0.0,21315.9995336,300,0,0
Z3,28,1,720,24552.0,0.703534,34898.100163,34920.0,1.0,2,5.5e-05,6979.620033,6979.620033,0.0,34738.825677600005,300,0,0
Z3,29,1,720,10824.0,0.704193,15370.786134,15368.0,1.0,2,5.5e-05,3074.157227,3074.157227,0.0,15211.5116486,300,0,0
Z3,30,1,720,6872.0,0.703532,9767.857041,9768.0,1.0,2,5.5e-05,1953.571408,1953.571408,0.0,9608.5825556,300,0,0
Z3,31,1,720,6872.0,0.703683,9765.761003,9768.0,1.0,2,5.5e-05,1953.152201,1953.152201,0.0,9606.4865176,300,0,0
Z3,32,1,720,6376.0,0.703545,9062.675451,9064.0,1.0,2,5.5e-05,1812.53509,1812.53509,0.0,8903.4009656,300,0,0
Z3,33,1,720,6872.0,0.703675,9765.872029,9768.0,1.0,2,5.5e-05,1953.174406,1953.174406,0.0,9606.5975436,300,0,0
Z3,34,1,720,6872.0,0.703146,9773.219218,9768.0,1.0,2,5.5e-05,1954.643844,1954.643844,0.0,9613.9447326,300,0,0
Z3,35,1,720,6376.0,0.703811,9059.250282,9064.0,1.0,2,5.5e-05,1811.850056,1811.850056,0.0,8899.975796600002,300,0,0
Z3,36,1,720,6872.0,0.703813,9763.957187,9768.0,1.0,2,5.5e-05,1952.791437,1952.791437,0.0,9604.6827016,300,0,0
Z3,37,1,720,6872.0,0.703145,9773.233117,9768.0,1.0,2,5.5e-05,1954.646623,1954.646623,0.0,9613.9586316,300,0,0
Z3,38,1,720,6376.0,0.703679,9060.949666,9064.0,1.0,2,5.5e-05,1812.189933,1812.189933,0.0,8901.675180600001,300,0,0
Z1,0,2,720,15344.0,2.122929,7227.749962,7224.0,1.0,2,38.040578,3257.739926,3257.739926,0.0,7068.4754766,300,0,0
Z2,0,2,720,6624.0,2.123065,3120.017522,3120.0,1.0,2,38.040578,2436.193438,2436.193438,0.0,2960.7430366,300,0,0
Z2,1,2,720,5664.0,0.703537,8050.749285,8056.0,1.0,2,38.040578,3422.33979,3422.33979,0.0,7891.4747996,300,0,0
Z2,2,2,720,7080.0,0.703806,10059.590285,10064.0,1.0,2,38.040578,3824.10799,3824.10799,0.0,9900.3157996,300,0,0
Z2,3,2,720,7080.0,0.703672,10061.505929,10064.0,1.0,2,38.040578,3824.491119,3824.491119,0.0,9902.231443600002,300,0,0
Z2,4,2,720,12128.0,0.703566,17237.899501,17248.0,1.0,2,38.040578,5259.769833,5259.769833,0.0,17078.6250156,300,0,0
Z2,5,2,720,18392.0,0.703805,26132.238333,26160.0,1.0,2,38.040578,7038.6376,7038.6376,0.0,25972.9638476,300,0,0
Z2,6,2,720,10632.0,0.703805,15106.457044,15120.0,1.0,2,38.040578,4833.481342,4833.481342,0.0,14947.182558600001,300,0,0
Z2,7,2,720,8048.0,0.703796,11435.131771,11448.0,1.0,2,38.040578,4099.216287,4099.216287,0.0,11275.857285600001,300,0,0
Z3,0,2,720,5424.0,2.123116,2554.735587,2552.0,1.0,2,38.040578,2323.137051,2323.137051,0.0,2395.4611016,300,0,0
Z3,1,2,720,7080.0,0.703542,10063.365087,10064.0,1.0,2,38.040578,3824.862951,3824.862951,0.0,9904.0906016,300,0,0
Z3,2,2,720,7080.0,0.703545,10063.322176,10064.0,1.0,2,38.040578,3824.854368,3824.854368,0.0,9904.0476906,300,0,0
Z3,3,2,720,5664.0,0.70446,8040.201005,8040.0,1.0,2,38.040578,3420.230134,3420.230134,0.0,7880.9265196,300,0,0
Z3,4,2,720,7080.0,0.703548,10063.279265,10064.0,1.0,2,38.040578,3824.845786,3824.845786,0.0,9904.0047796,300,0,0
Z3,5,2,720,7080.0,0.70381,10059.533113,10064.0,1.0,2,38.040578,3824.096556,3824.096556,0.0,9900.2586276,300,0,0
Z3,6,2,720,5664.0,0.703543,8050.680626,8056.0,1.0,2,38.040578,3422.326058,3422.326058,0.0,7891.4061406,300,0,0
Z3,7,2,720,7080.0,0.703675,10061.463033,10064.0,1.0,2,38.040578,3824.48254,3824.48254,0.0,9902.1885476,300,0,0
Z3,8,2,720,7080.0,0.703685,10061.320051,10064.0,1.0,2,38.040578,3824.453943,3824.453943,0.0,9902.045565600001,300,0,0
Z3,9,2,720,12648.0,0.703815,17970.631487,17984.0,1.0,2,38.040578,5406.316231,5406.316231,0.0,17811.357001599998,300,0,0
Z3,10,2,720,17112.0,0.703835,24312.516428,24336.0,1.0,2,38.040578,6674.693219,6674.693219,0.0,24153.241942599998,300,0,0
