Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.323086, 30827.705317, 30832.000000, 1.000000, 2, 0.000055, 30827.705317, 30827.705317
Z2, 0, 1, 720, 8952.000000, 0.334993, 26722.946450, 26800.000000, 1.000000, 2, 0.000055, 13361.473225, 13361.473225
Z2, 1, 1, 720, 5424.000000, 0.103494, 52408.835295, 52656.000000, 1.000000, 2, 0.000055, 17469.611765, 17469.611765
Z2, 2, 1, 720, 7080.000000, 0.103514, 68396.545395, 68736.000000, 1.000000, 2, 0.000055, 17099.136349, 17099.136349
Z2, 3, 1, 720, 18976.000000, 0.103798, 182816.624598, 184232.000000, 1.000000, 2, 0.000055, 36563.324920, 36563.324920
Z2, 4, 1, 720, 8720.000000, 0.103617, 84156.074775, 84656.000000, 1.000000, 2, 0.000055, 16831.214955, 16831.214955
Z2, 5, 1, 720, 8336.000000, 0.103514, 80530.169832, 80928.000000, 1.000000, 2, 0.000055, 16106.033966, 16106.033966
Z2, 6, 1, 720, 6376.000000, 0.103505, 61600.888846, 61896.000000, 1.000000, 2, 0.000055, 12320.177769, 12320.177769
Z2, 7, 1, 720, 6872.000000, 0.103772, 66222.102301, 66712.000000, 1.000000, 2, 0.000055, 13244.420460, 13244.420460
Z3, 0, 1, 720, 7080.000000, 0.322817, 21931.930475, 21984.000000, 1.000000, 2, 0.000055, 4386.386095, 4386.386095
Z3, 1, 1, 720, 7080.000000, 0.103524, 68389.938565, 68736.000000, 1.000000, 2, 0.000055, 13677.987713, 13677.987713
Z3, 2, 1, 720, 5664.000000, 0.103511, 54718.822154, 54984.000000, 1.000000, 2, 0.000055, 10943.764431, 10943.764431
Z3, 3, 1, 720, 7080.000000, 0.103510, 68399.188484, 68736.000000, 1.000000, 2, 0.000055, 13679.837697, 13679.837697
Z3, 4, 1, 720, 7080.000000, 0.103639, 68314.051660, 68736.000000, 1.000000, 2, 0.000055, 13662.810332, 13662.810332
