Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1,720,9960.0,0.322523,30881.518527,30928.0,1.0,2,5.5e-05,30881.518527,30881.518527,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z2,0,1,720,8952.0,0.334887,26731.404922,26800.0,1.0,2,5.5e-05,13365.702461,13365.702461,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z2,1,1,720,5424.0,0.103497,52407.316154,52656.0,1.0,2,5.5e-05,17469.105385,17469.105385,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z2,2,1,720,7080.0,0.10351,68399.188484,68736.0,1.0,2,5.5e-05,17099.797121,17099.797121,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z2,3,1,720,18976.0,0.103528,183293.408546,184232.0,1.0,2,5.5e-05,36658.681709,36658.681709,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z2,4,1,720,8720.0,0.103607,84164.1974,84656.0,1.0,2,5.5e-05,16832.83948,16832.83948,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z2,5,1,720,8336.0,0.103548,80503.72774,80928.0,1.0,2,5.5e-05,16100.745548,16100.745548,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z2,6,1,720,6376.0,0.103629,61527.178686,61896.0,1.0,2,5.5e-05,12305.435737,12305.435737,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z2,7,1,720,6872.0,0.103647,66301.967254,66712.0,1.0,2,5.5e-05,13260.393451,13260.393451,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,0,1,720,7080.0,0.322686,21940.834124,21984.0,1.0,2,5.5e-05,4388.166825,4388.166825,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,1,1,720,7080.0,0.103502,68404.475276,68736.0,1.0,2,5.5e-05,13680.895055,13680.895055,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,2,1,720,5664.0,0.103055,54960.943186,54984.0,1.0,2,5.5e-05,10992.188637,10992.188637,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,3,1,720,7080.0,0.103444,68442.82897,68736.0,1.0,2,5.5e-05,13688.565794,13688.565794,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,4,1,720,7080.0,0.103641,68312.733378,68736.0,1.0,2,5.5e-05,13662.546676,13662.546676,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,5,1,720,5664.0,0.103506,54721.465422,54984.0,1.0,2,5.5e-05,10944.293084,10944.293084,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,6,1,720,7080.0,0.103509,68399.849288,68736.0,1.0,2,5.5e-05,13679.969858,13679.969858,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,7,1,720,7080.0,0.103516,68395.223927,68736.0,1.0,2,5.5e-05,13679.044785,13679.044785,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,8,1,720,5664.0,0.103373,54791.870218,54984.0,1.0,2,5.5e-05,10958.374044,10958.374044,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,9,1,720,7080.0,0.103379,68485.862699,68736.0,1.0,2,5.5e-05,13697.17254,13697.17254,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,10,1,720,12904.0,0.103523,124648.628807,125280.0,1.0,2,5.5e-05,24929.725761,24929.725761,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,11,1,720,17344.0,0.10352,167542.503864,168384.0,1.0,2,5.5e-05,33508.500773,33508.500773,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,12,1,720,16912.0,0.103502,163397.808738,164192.0,1.0,2,5.5e-05,32679.561748,32679.561748,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,13,1,720,13240.0,0.103514,127905.4041,128536.0,1.0,2,5.5e-05,25581.08082,25581.08082,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,14,1,720,28328.0,0.103647,273312.300404,275024.0,1.0,2,5.5e-05,54662.460081,54662.460081,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,15,1,720,30528.0,0.10351,294928.026278,296384.0,1.0,2,5.5e-05,58985.605256,58985.605256,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,16,1,720,16360.0,0.103503,158063.051313,158832.0,1.0,2,5.5e-05,31612.610263,31612.610263,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,17,1,720,33216.0,0.103524,320853.135505,322480.0,1.0,2,5.5e-05,64170.627101,64170.627101,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,18,1,720,28000.0,0.103504,270520.94605,271840.0,1.0,2,5.5e-05,54104.18921,54104.18921,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,19,1,720,15744.0,0.103632,151922.186197,152848.0,1.0,2,5.5e-05,30384.437239,30384.437239,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,20,1,720,16024.0,0.103645,154604.660138,155568.0,1.0,2,5.5e-05,30920.932028,30920.932028,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,21,1,720,11576.0,0.103632,111702.948896,112384.0,1.0,2,5.5e-05,22340.589779,22340.589779,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
Z3,22,1,720,10816.0,0.103647,104354.202244,105008.0,1.0,2,5.5e-05,20870.840449,20870.840449,653782.0685441999,1722397.8072529999,107268.23944470001,1928981.0031096998,12615138.3901977,0,0,0
