Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,qt_sw,QoE,delay,jitter,loss
Z1,0,1,720,9960.0,0.335263,29708.020271,29728.0,1.0,2,5.5e-05,29708.020271,29708.020271,0.0,29668.0118627,0,0,0
Z2,0,1,720,8952.0,0.334669,26748.817488,26800.0,1.0,2,5.5e-05,13374.408744,13374.408744,0.0,26708.8090797,0,0,0
Z2,1,1,720,5424.0,0.103628,52341.066121,52656.0,1.0,2,5.5e-05,17447.02204,17447.02204,0.0,52301.05771270001,0,0,0
Z2,2,1,720,7080.0,0.103645,68310.096966,68736.0,1.0,2,5.5e-05,17077.524241,17077.524241,0.0,68270.0885577,0,0,0
Z2,3,1,720,18976.0,0.10366,183060.003859,184232.0,1.0,2,5.5e-05,36612.000772,36612.000772,0.0,183019.9954507,0,0,0
Z2,4,1,720,8720.0,0.103216,84483.025887,84656.0,1.0,2,5.5e-05,16896.605177,16896.605177,0.0,84443.0174787,0,0,0
Z2,5,1,720,8336.0,0.103532,80516.168914,80928.0,1.0,2,5.5e-05,16103.233783,16103.233783,0.0,80476.1605057,0,0,0
Z2,6,1,720,6376.0,0.103507,61599.698571,61896.0,1.0,2,5.5e-05,12319.939714,12319.939714,0.0,61559.690162700004,0,0,0
Z2,7,1,720,6872.0,0.103642,66305.165859,66712.0,1.0,2,5.5e-05,13261.033172,13261.033172,0.0,66265.1574507,0,0,0
Z3,0,1,720,7080.0,0.319871,22133.922738,22192.0,1.0,2,5.5e-05,4426.784548,4426.784548,0.0,22093.9143297,0,0,0
Z3,1,1,720,7080.0,0.10296,68764.568765,69408.0,1.0,2,5.5e-05,13752.913753,13752.913753,0.0,68724.5603567,0,0,0
Z3,2,1,720,5664.0,0.102639,55183.702102,55528.0,1.0,2,5.5e-05,11036.74042,11036.74042,0.0,55143.69369370001,0,0,0
Z3,3,1,720,7080.0,0.103506,68401.831778,68736.0,1.0,2,5.5e-05,13680.366356,13680.366356,0.0,68361.82336970001,0,0,0
Z3,4,1,720,7080.0,0.103512,68397.866914,68736.0,1.0,2,5.5e-05,13679.573383,13679.573383,0.0,68357.8585057,0,0,0
Z3,5,1,720,5664.0,0.103511,54718.822154,54984.0,1.0,2,5.5e-05,10943.764431,10943.764431,0.0,54678.813745700005,0,0,0
Z3,6,1,720,7080.0,0.103513,68397.206148,68736.0,1.0,2,5.5e-05,13679.44123,13679.44123,0.0,68357.1977397,0,0,0
Z3,7,1,720,7080.0,0.103515,68395.884654,68736.0,1.0,2,5.5e-05,13679.176931,13679.176931,0.0,68355.8762457,0,0,0
Z3,8,1,720,5664.0,0.103505,54721.994107,54984.0,1.0,2,5.5e-05,10944.398821,10944.398821,0.0,54681.9856987,0,0,0
Z3,9,1,720,7080.0,0.103512,68397.866914,68736.0,1.0,2,5.5e-05,13679.573383,13679.573383,0.0,68357.8585057,0,0,0
Z3,10,1,720,12904.0,0.103527,124643.812725,125280.0,1.0,2,5.5e-05,24928.762545,24928.762545,0.0,124603.8043167,0,0,0
