Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.018064, 551372.896368, 553328.000000, 1.000000, 2, 0.000056, 551372.896368, 551372.896368
Z2, 0, 1, 720, 8952.000000, 0.015774, 567516.165843, 596800.000000, 1.000000, 2, 0.000056, 283758.082921, 283758.082921
Z2, 1, 1, 720, 5424.000000, 0.001672, 3244019.138756, 5424000.000000, 1.000000, 2, 0.000056, 1081339.712919, 1081339.712919
Z2, 2, 1, 720, 7080.000000, 0.003398, 2083578.575633, 2360000.000000, 1.000000, 2, 0.000056, 520894.643908, 520894.643908
Z2, 3, 1, 720, 18976.000000, 0.003402, 5577895.355673, 6325328.000000, 1.000000, 2, 0.000056, 1115579.071135, 1115579.071135
Z2, 4, 1, 720, 8720.000000, 0.001690, 5159763.313609, 8720000.000000, 1.000000, 2, 0.000056, 1031952.662722, 1031952.662722
Z2, 5, 1, 720, 8336.000000, 0.003399, 2452486.025302, 2778664.000000, 1.000000, 2, 0.000056, 490497.205060, 490497.205060
Z2, 6, 1, 720, 6376.000000, 0.003395, 1878055.964654, 2125328.000000, 1.000000, 2, 0.000056, 375611.192931, 375611.192931
Z2, 7, 1, 720, 6872.000000, 0.003399, 2021771.109150, 2290664.000000, 1.000000, 2, 0.000056, 404354.221830, 404354.221830
Z3, 0, 1, 720, 7080.000000, 0.021704, 326207.150756, 337136.000000, 1.000000, 2, 0.000056, 65241.430151, 65241.430151
Z3, 1, 1, 720, 7080.000000, 0.003323, 2130604.875113, 2360000.000000, 1.000000, 2, 0.000056, 426120.975023, 426120.975023
Z3, 2, 1, 720, 5664.000000, 0.003385, 1673264.401773, 1888000.000000, 1.000000, 2, 0.000056, 334652.880355, 334652.880355
Z3, 3, 1, 720, 7080.000000, 0.003268, 2166462.668299, 2360000.000000, 1.000000, 2, 0.000056, 433292.533660, 433292.533660
Z3, 4, 1, 720, 7080.000000, 0.003244, 2182490.752158, 2360000.000000, 1.000000, 2, 0.000056, 436498.150432, 436498.150432
Z3, 5, 1, 720, 5664.000000, 0.003504, 1616438.356164, 1888000.000000, 1.000000, 2, 0.000056, 323287.671233, 323287.671233
Z3, 6, 1, 720, 7080.000000, 0.003524, 2009080.590238, 2360000.000000, 1.000000, 2, 0.000056, 401816.118048, 401816.118048
Z3, 7, 1, 720, 7080.000000, 0.003487, 2030398.623459, 2360000.000000, 1.000000, 2, 0.000056, 406079.724692, 406079.724692
Z3, 8, 1, 720, 5664.000000, 0.003369, 1681211.041852, 1888000.000000, 1.000000, 2, 0.000056, 336242.208370, 336242.208370
Z3, 9, 1, 720, 7080.000000, 0.003641, 1944520.736062, 2360000.000000, 1.000000, 2, 0.000056, 388904.147212, 388904.147212
Z3, 10, 1, 720, 12904.000000, 0.003649, 3536311.318169, 4301328.000000, 1.000000, 2, 0.000056, 707262.263634, 707262.263634
Z3, 11, 1, 720, 17344.000000, 0.003508, 4944127.708096, 5781328.000000, 1.000000, 2, 0.000056, 988825.541619, 988825.541619
Z3, 12, 1, 720, 16912.000000, 0.003631, 4657670.063343, 5637328.000000, 1.000000, 2, 0.000056, 931534.012669, 931534.012669
Z3, 13, 1, 720, 13240.000000, 0.003507, 3775306.529798, 4413328.000000, 1.000000, 2, 0.000056, 755061.305960, 755061.305960
Z3, 14, 1, 720, 28328.000000, 0.003644, 7773874.862788, 9442664.000000, 1.000000, 2, 0.000056, 1554774.972558, 1554774.972558
Z3, 15, 1, 720, 30528.000000, 0.003634, 8400660.429279, 10176000.000000, 1.000000, 2, 0.000056, 1680132.085856, 1680132.085856
Z3, 16, 1, 720, 16360.000000, 0.003646, 4487109.160724, 5453328.000000, 1.000000, 2, 0.000056, 897421.832145, 897421.832145
Z3, 17, 1, 720, 33216.000000, 0.003494, 9506582.713223, 11072000.000000, 1.000000, 2, 0.000056, 1901316.542645, 1901316.542645
Z3, 18, 1, 720, 28000.000000, 0.003632, 7709251.101322, 9333328.000000, 1.000000, 2, 0.000056, 1541850.220264, 1541850.220264
Z3, 19, 1, 720, 15744.000000, 0.003631, 4335995.593500, 5248000.000000, 1.000000, 2, 0.000056, 867199.118700, 867199.118700
Z3, 20, 1, 720, 16024.000000, 0.003640, 4402197.802198, 5341328.000000, 1.000000, 2, 0.000056, 880439.560440, 880439.560440
Z3, 21, 1, 720, 11576.000000, 0.003756, 3082002.129925, 3858664.000000, 1.000000, 2, 0.000056, 616400.425985, 616400.425985
Z3, 22, 1, 720, 10816.000000, 0.003639, 2972245.122286, 3605328.000000, 1.000000, 2, 0.000056, 594449.024457, 594449.024457
Z3, 23, 1, 720, 13224.000000, 0.003636, 3636963.696370, 4408000.000000, 1.000000, 2, 0.000056, 727392.739274, 727392.739274
