Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.903492, 11023.893958, 11024.000000, 1.000000, 2, 0.000062, 11023.893958, 11023.893958
Z2, 0, 1, 720, 0.000000, 0.206885, 0.000000, 0.000000, 1.000000, 2, 0.000062, 0.000000, 0.000000
Z2, 1, 1, 720, 5424.000000, 0.802160, 6761.743293, 6760.000000, 1.000000, 2, 0.000062, 2253.914431, 2253.914431
Z2, 2, 1, 720, 7080.000000, 0.227001, 31189.289915, 31184.000000, 1.000000, 2, 0.000062, 7797.322479, 7797.322479
Z2, 3, 1, 720, 18976.000000, 0.227195, 83522.964854, 83592.000000, 1.000000, 2, 0.000062, 16704.592971, 16704.592971
Z2, 4, 1, 720, 8720.000000, 0.227140, 38390.420005, 38408.000000, 1.000000, 2, 0.000062, 7678.084001, 7678.084001
Z2, 5, 1, 720, 8336.000000, 0.227037, 36716.482335, 36720.000000, 1.000000, 2, 0.000062, 7343.296467, 7343.296467
Z2, 6, 1, 720, 6376.000000, 0.227161, 28068.198326, 28088.000000, 1.000000, 2, 0.000062, 5613.639665, 5613.639665
Z2, 7, 1, 720, 6872.000000, 0.227092, 30260.863439, 30272.000000, 1.000000, 2, 0.000062, 6052.172688, 6052.172688
Z3, 0, 1, 720, 7080.000000, 0.738053, 9592.807021, 9592.000000, 1.000000, 2, 0.000062, 1918.561404, 1918.561404
Z3, 1, 1, 720, 7080.000000, 0.227104, 31175.144427, 31184.000000, 1.000000, 2, 0.000062, 6235.028885, 6235.028885
Z3, 2, 1, 720, 5664.000000, 0.227007, 24950.772443, 24944.000000, 1.000000, 2, 0.000062, 4990.154489, 4990.154489
Z3, 3, 1, 720, 7080.000000, 0.227106, 31174.869885, 31184.000000, 1.000000, 2, 0.000062, 6234.973977, 6234.973977
Z3, 4, 1, 720, 7080.000000, 0.226929, 31199.185648, 31320.000000, 1.000000, 2, 0.000062, 6239.837130, 6239.837130
Z3, 5, 1, 720, 5664.000000, 0.259676, 21811.796238, 21864.000000, 1.000000, 2, 0.000062, 4362.359248, 4362.359248
Z3, 6, 1, 720, 7080.000000, 0.226945, 31196.986054, 31320.000000, 1.000000, 2, 0.000062, 6239.397211, 6239.397211
Z3, 7, 1, 720, 7080.000000, 0.227028, 31185.580633, 31184.000000, 1.000000, 2, 0.000062, 6237.116127, 6237.116127
Z3, 8, 1, 720, 5664.000000, 0.227030, 24948.244725, 24944.000000, 1.000000, 2, 0.000062, 4989.648945, 4989.648945
Z3, 9, 1, 720, 7080.000000, 0.227016, 31187.229094, 31184.000000, 1.000000, 2, 0.000062, 6237.445819, 6237.445819
Z3, 10, 1, 720, 12904.000000, 0.227118, 56816.280524, 56840.000000, 1.000000, 2, 0.000062, 11363.256105, 11363.256105
Z3, 11, 1, 720, 17344.000000, 0.227159, 76351.806444, 76400.000000, 1.000000, 2, 0.000062, 15270.361289, 15270.361289
Z3, 12, 1, 720, 16912.000000, 0.237736, 71137.732611, 71352.000000, 1.000000, 2, 0.000062, 14227.546522, 14227.546522
Z3, 13, 1, 720, 13240.000000, 0.227012, 58322.908040, 58320.000000, 1.000000, 2, 0.000062, 11664.581608, 11664.581608
Z3, 14, 1, 720, 28328.000000, 0.226917, 124838.597373, 125344.000000, 1.000000, 2, 0.000062, 24967.719475, 24967.719475
Z3, 15, 1, 720, 30528.000000, 0.227187, 134373.885830, 134480.000000, 1.000000, 2, 0.000062, 26874.777166, 26874.777166
Z3, 16, 1, 720, 16360.000000, 0.227150, 72022.892362, 72064.000000, 1.000000, 2, 0.000062, 14404.578472, 14404.578472
Z3, 17, 1, 720, 33216.000000, 0.291494, 113950.887497, 114144.000000, 1.000000, 2, 0.000062, 22790.177499, 22790.177499
Z3, 18, 1, 720, 28000.000000, 0.227136, 123274.161736, 123344.000000, 1.000000, 2, 0.000062, 24654.832347, 24654.832347
Z3, 19, 1, 720, 15744.000000, 0.227268, 69275.040921, 69352.000000, 1.000000, 2, 0.000062, 13855.008184, 13855.008184
Z3, 20, 1, 720, 16024.000000, 0.227238, 70516.374902, 70584.000000, 1.000000, 2, 0.000062, 14103.274980, 14103.274980
Z3, 21, 1, 720, 11576.000000, 0.227080, 50977.629029, 50992.000000, 1.000000, 2, 0.000062, 10195.525806, 10195.525806
Z3, 22, 1, 720, 10816.000000, 0.227099, 47626.805930, 47640.000000, 1.000000, 2, 0.000062, 9525.361186, 9525.361186
Z3, 23, 1, 720, 13224.000000, 0.227168, 58212.424285, 58248.000000, 1.000000, 2, 0.000062, 11642.484857, 11642.484857
Z3, 24, 1, 720, 17528.000000, 0.227128, 77172.343348, 77208.000000, 1.000000, 2, 0.000062, 15434.468670, 15434.468670
Z3, 25, 1, 720, 23824.000000, 0.227194, 104861.924171, 104944.000000, 1.000000, 2, 0.000062, 20972.384834, 20972.384834
Z3, 26, 1, 720, 11024.000000, 0.230358, 47855.945962, 47928.000000, 1.000000, 2, 0.000062, 9571.189192, 9571.189192
Z3, 27, 1, 720, 15112.000000, 0.227061, 66554.802454, 66568.000000, 1.000000, 2, 0.000062, 13310.960491, 13310.960491
Z3, 28, 1, 720, 24552.000000, 0.473184, 51886.792453, 51904.000000, 1.000000, 2, 0.000062, 10377.358491, 10377.358491
Z3, 29, 1, 720, 10824.000000, 0.227219, 47636.861354, 47680.000000, 1.000000, 2, 0.000062, 9527.372271, 9527.372271
Z3, 30, 1, 720, 6872.000000, 0.227079, 30262.595837, 30272.000000, 1.000000, 2, 0.000062, 6052.519167, 6052.519167
Z3, 31, 1, 720, 6872.000000, 0.227160, 30251.804895, 30272.000000, 1.000000, 2, 0.000062, 6050.360979, 6050.360979
Z3, 32, 1, 720, 6376.000000, 0.227181, 28065.727328, 28088.000000, 1.000000, 2, 0.000062, 5613.145466, 5613.145466
Z3, 33, 1, 720, 6872.000000, 0.232327, 29578.998567, 29616.000000, 1.000000, 2, 0.000062, 5915.799713, 5915.799713
Z3, 34, 1, 720, 6872.000000, 0.227216, 30244.348990, 30272.000000, 1.000000, 2, 0.000062, 6048.869798, 6048.869798
Z3, 35, 1, 720, 6376.000000, 0.227091, 28076.850249, 28088.000000, 1.000000, 2, 0.000062, 5615.370050, 5615.370050
Z3, 36, 1, 720, 6872.000000, 0.227215, 30244.482098, 30272.000000, 1.000000, 2, 0.000062, 6048.896420, 6048.896420
Z3, 37, 1, 720, 6872.000000, 0.227261, 30238.360299, 30272.000000, 1.000000, 2, 0.000062, 6047.672060, 6047.672060
Z3, 38, 1, 720, 6376.000000, 0.301847, 21123.284313, 21176.000000, 1.000000, 2, 0.000062, 4224.656863, 4224.656863
Z1, 0, 2, 720, 15344.000000, 1.091281, 14060.539861, 14064.000000, 1.000000, 2, 13.087586, 7036.764835, 7036.764835
Z2, 0, 2, 720, 6624.000000, 0.833021, 7951.780327, 7944.000000, 1.000000, 2, 13.087586, 5815.012928, 5815.012928
Z2, 1, 2, 720, 5664.000000, 0.370368, 15292.897875, 15304.000000, 1.000000, 2, 13.087586, 7283.236437, 7283.236437
Z2, 2, 2, 720, 7080.000000, 0.227075, 31179.125839, 31184.000000, 1.000000, 2, 13.087586, 10460.482030, 10460.482030
Z2, 3, 2, 720, 7080.000000, 0.227000, 31189.427313, 31184.000000, 1.000000, 2, 13.087586, 10462.542325, 10462.542325
Z2, 4, 2, 720, 12128.000000, 0.227168, 53387.801099, 53424.000000, 1.000000, 2, 13.087586, 14902.217082, 14902.217082
Z2, 5, 2, 720, 18392.000000, 0.227016, 81016.316031, 81016.000000, 1.000000, 2, 13.087586, 20427.920069, 20427.920069
Z2, 6, 2, 720, 10632.000000, 0.226986, 46839.893209, 47040.000000, 1.000000, 2, 13.087586, 13592.635504, 13592.635504
Z2, 7, 2, 720, 8048.000000, 0.227107, 35437.040690, 35448.000000, 1.000000, 2, 13.087586, 11312.065001, 11312.065001
Z3, 0, 2, 720, 5424.000000, 0.830496, 6531.036874, 6528.000000, 1.000000, 2, 13.087586, 5530.864237, 5530.864237
Z3, 1, 2, 720, 7080.000000, 0.207129, 34181.596976, 34200.000000, 1.000000, 2, 13.087586, 11060.976258, 11060.976258
