Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1,720,0.0,9.2752,0.0,0.0,1.0,2,6.7e-05,0.0,0.0,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z2,0,1,720,8952.0,0.536954,16671.819187,16696.0,1.0,2,6.7e-05,8335.909594,8335.909594,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z2,1,1,720,5424.0,0.134147,40433.256055,40472.0,1.0,2,6.7e-05,13477.752018,13477.752018,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z2,2,1,720,7080.0,0.134022,52827.147782,52832.0,1.0,2,6.7e-05,13206.786945,13206.786945,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z2,3,1,720,18976.0,0.134121,141484.182194,141608.0,1.0,2,6.7e-05,28296.836439,28296.836439,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z2,4,1,720,8720.0,0.134072,65039.680172,65072.0,1.0,2,6.7e-05,13007.936034,13007.936034,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z2,5,1,720,8336.0,0.134085,62169.519335,62208.0,1.0,2,6.7e-05,12433.903867,12433.903867,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z2,6,1,720,6376.0,0.13418,47518.259055,47576.0,1.0,2,6.7e-05,9503.651811,9503.651811,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z2,7,1,720,6872.0,0.375686,18291.871403,18320.0,1.0,2,6.7e-05,3658.374281,3658.374281,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z3,0,1,720,7080.0,0.517547,13679.916993,13688.0,1.0,2,6.7e-05,2735.983399,2735.983399,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
Z3,1,1,720,7080.0,0.134097,52797.601736,52832.0,1.0,2,6.7e-05,10559.520347,10559.520347,582577.0418128,1881100.1752155,52572.7263661,1819253.7778551,14804485.111882098,0,0,0
