Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1,720,9960.0,0.365756,27231.268933,27280.0,1.0,2,6.2e-05,27231.268933,27231.268933,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z2,0,1,720,8952.0,0.840973,10644.812616,10656.0,1.0,2,6.2e-05,5322.406308,5322.406308,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z2,1,1,720,5424.0,0.268638,20190.739955,20232.0,1.0,2,6.2e-05,6730.246652,6730.246652,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z2,2,1,720,7080.0,0.230134,30764.684923,30776.0,1.0,2,6.2e-05,7691.171231,7691.171231,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z2,3,1,720,18976.0,0.230182,82439.113397,82504.0,1.0,2,6.2e-05,16487.822679,16487.822679,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z2,4,1,720,8720.0,0.241016,36180.170611,36176.0,1.0,2,6.2e-05,7236.034122,7236.034122,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z2,5,1,720,8336.0,0.230102,36227.412191,36240.0,1.0,2,6.2e-05,7245.482438,7245.482438,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z2,6,1,720,6376.0,0.23016,27702.467848,27720.0,1.0,2,6.2e-05,5540.49357,5540.49357,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z2,7,1,720,6872.0,0.230107,29864.367446,29872.0,1.0,2,6.2e-05,5972.873489,5972.873489,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,0,1,720,7080.0,0.995212,7114.062129,7112.0,1.0,2,6.2e-05,1422.812426,1422.812426,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,1,1,720,7080.0,0.115028,61550.231248,61560.0,1.0,2,6.2e-05,12310.04625,12310.04625,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,2,1,720,5664.0,0.114987,49257.74218,49680.0,1.0,2,6.2e-05,9851.548436,9851.548436,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,3,1,720,7080.0,0.115196,61460.467377,61560.0,1.0,2,6.2e-05,12292.093475,12292.093475,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,4,1,720,7080.0,0.115121,61500.508161,61560.0,1.0,2,6.2e-05,12300.101632,12300.101632,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,5,1,720,5664.0,0.115041,49234.6207,49248.0,1.0,2,6.2e-05,9846.92414,9846.92414,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,6,1,720,7080.0,0.114992,61569.500487,62104.0,1.0,2,6.2e-05,12313.900097,12313.900097,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,7,1,720,7080.0,0.115093,61515.470098,61560.0,1.0,2,6.2e-05,12303.09402,12303.09402,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,8,1,720,0.0,0.727722,0.0,0.0,1.0,2,6.2e-05,0.0,0.0,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,9,1,720,7080.0,0.365727,19358.701983,19392.0,1.0,2,6.2e-05,3871.740397,3871.740397,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,10,1,720,12904.0,0.115116,112095.625282,112208.0,1.0,2,6.2e-05,22419.125056,22419.125056,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,11,1,720,17344.0,0.115122,150657.563281,150816.0,1.0,2,6.2e-05,30131.512656,30131.512656,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,12,1,720,16912.0,0.11508,146958.63747,147056.0,1.0,2,6.2e-05,29391.727494,29391.727494,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,13,1,720,13240.0,0.115018,115112.417187,115128.0,1.0,2,6.2e-05,23022.483437,23022.483437,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,14,1,720,28328.0,0.11516,245988.190344,246328.0,1.0,2,6.2e-05,49197.638069,49197.638069,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,15,1,720,30528.0,0.115206,264986.198635,265456.0,1.0,2,6.2e-05,52997.239727,52997.239727,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,16,1,720,16360.0,0.188758,86671.823181,87016.0,1.0,2,6.2e-05,17334.364636,17334.364636,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,17,1,720,33216.0,0.500186,66407.296486,66432.0,1.0,2,6.2e-05,13281.459297,13281.459297,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,18,1,720,28000.0,0.115412,242609.087443,243472.0,1.0,2,6.2e-05,48521.817489,48521.817489,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,19,1,720,15744.0,0.184365,85395.818078,85560.0,1.0,2,6.2e-05,17079.163616,17079.163616,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,20,1,720,16024.0,0.115187,139112.920729,139336.0,1.0,2,6.2e-05,27822.584146,27822.584146,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,21,1,720,11576.0,0.184571,62718.411885,62912.0,1.0,2,6.2e-05,12543.682377,12543.682377,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,22,1,720,10816.0,0.115187,93899.485185,94048.0,1.0,2,6.2e-05,18779.897037,18779.897037,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
Z3,23,1,720,13224.0,0.115236,114755.805477,114984.0,1.0,2,6.2e-05,22951.161095,22951.161095,843472.1089451999,2359403.4521183,137178.8395392,2491489.7375592,17650803.1692902,0,0,0
