Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.709517, 14037.718617, 14040.000000, 1.000000, 2, 0.000067, 14037.718617, 14037.718617
Z2, 0, 1, 720, 8952.000000, 0.694963, 12881.261305, 12896.000000, 1.000000, 2, 0.000067, 6440.630652, 6440.630652
Z2, 1, 1, 720, 5424.000000, 0.199891, 27134.788460, 27256.000000, 1.000000, 2, 0.000067, 9044.929487, 9044.929487
Z2, 2, 1, 720, 7080.000000, 0.199995, 35400.885022, 35576.000000, 1.000000, 2, 0.000067, 8850.221256, 8850.221256
Z2, 3, 1, 720, 18976.000000, 0.200158, 94805.103968, 94880.000000, 1.000000, 2, 0.000067, 18961.020794, 18961.020794
Z2, 4, 1, 720, 8720.000000, 0.199847, 43633.379535, 43816.000000, 1.000000, 2, 0.000067, 8726.675907, 8726.675907
Z2, 5, 1, 720, 8336.000000, 0.297458, 28024.124414, 28064.000000, 1.000000, 2, 0.000067, 5604.824883, 5604.824883
Z2, 6, 1, 720, 6376.000000, 0.215630, 29569.169411, 29648.000000, 1.000000, 2, 0.000067, 5913.833882, 5913.833882
Z2, 7, 1, 720, 6872.000000, 0.200064, 34349.008317, 34360.000000, 1.000000, 2, 0.000067, 6869.801663, 6869.801663
Z3, 0, 1, 720, 7080.000000, 1.583417, 4471.342672, 4472.000000, 1.000000, 2, 0.000067, 894.268534, 894.268534
Z3, 1, 1, 720, 7080.000000, 0.200005, 35399.115022, 35400.000000, 1.000000, 2, 0.000067, 7079.823004, 7079.823004
Z3, 2, 1, 720, 5664.000000, 0.199915, 28332.041117, 28456.000000, 1.000000, 2, 0.000067, 5666.408223, 5666.408223
Z3, 3, 1, 720, 7080.000000, 0.200064, 35388.675624, 35400.000000, 1.000000, 2, 0.000067, 7077.735125, 7077.735125
Z3, 4, 1, 720, 7080.000000, 0.498450, 14204.032501, 14216.000000, 1.000000, 2, 0.000067, 2840.806500, 2840.806500
