Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 1.229623, 8100.043672, 8104.000000, 1.000000, 2, 0.000061, 8100.043672, 8100.043672
Z2, 0, 1, 720, 8952.000000, 1.616749, 5537.037598, 5536.000000, 1.000000, 2, 0.000061, 2768.518799, 2768.518799
Z2, 1, 1, 720, 5424.000000, 0.170141, 31879.441169, 31904.000000, 1.000000, 2, 0.000061, 10626.480390, 10626.480390
Z2, 2, 1, 720, 7080.000000, 0.170053, 41634.078787, 41640.000000, 1.000000, 2, 0.000061, 10408.519697, 10408.519697
Z2, 3, 1, 720, 18976.000000, 0.170262, 111451.762578, 111616.000000, 1.000000, 2, 0.000061, 22290.352516, 22290.352516
Z2, 4, 1, 720, 8720.000000, 0.213917, 40763.473684, 40936.000000, 1.000000, 2, 0.000061, 8152.694737, 8152.694737
Z2, 5, 1, 720, 8336.000000, 0.170120, 49000.705384, 49032.000000, 1.000000, 2, 0.000061, 9800.141077, 9800.141077
Z2, 6, 1, 720, 6376.000000, 0.170089, 37486.257195, 37504.000000, 1.000000, 2, 0.000061, 7497.251439, 7497.251439
Z2, 7, 1, 720, 6872.000000, 0.170168, 40383.620892, 40416.000000, 1.000000, 2, 0.000061, 8076.724178, 8076.724178
Z3, 0, 1, 720, 7080.000000, 0.622918, 11365.861959, 11376.000000, 1.000000, 2, 0.000061, 2273.172392, 2273.172392
Z3, 1, 1, 720, 7080.000000, 0.172924, 40942.841942, 41160.000000, 1.000000, 2, 0.000061, 8188.568388, 8188.568388
Z3, 2, 1, 720, 5664.000000, 0.172953, 32748.781461, 32928.000000, 1.000000, 2, 0.000061, 6549.756292, 6549.756292
Z3, 3, 1, 720, 7080.000000, 0.173034, 40916.814037, 40920.000000, 1.000000, 2, 0.000061, 8183.362807, 8183.362807
Z3, 4, 1, 720, 7080.000000, 0.203081, 34862.936464, 34872.000000, 1.000000, 2, 0.000061, 6972.587293, 6972.587293
Z3, 5, 1, 720, 5664.000000, 0.173059, 32728.722574, 32736.000000, 1.000000, 2, 0.000061, 6545.744515, 6545.744515
Z3, 6, 1, 720, 7080.000000, 0.173084, 40904.994107, 40920.000000, 1.000000, 2, 0.000061, 8180.998821, 8180.998821
Z3, 7, 1, 720, 7080.000000, 0.253886, 27886.531750, 27984.000000, 1.000000, 2, 0.000061, 5577.306350, 5577.306350
Z3, 8, 1, 720, 5664.000000, 0.173046, 32731.181304, 32736.000000, 1.000000, 2, 0.000061, 6546.236261, 6546.236261
Z3, 9, 1, 720, 7080.000000, 0.173003, 40924.145824, 40920.000000, 1.000000, 2, 0.000061, 8184.829165, 8184.829165
Z3, 10, 1, 720, 12904.000000, 0.254079, 50787.353540, 50800.000000, 1.000000, 2, 0.000061, 10157.470708, 10157.470708
Z3, 11, 1, 720, 17344.000000, 0.173177, 100151.867742, 100248.000000, 1.000000, 2, 0.000061, 20030.373548, 20030.373548
Z3, 12, 1, 720, 16912.000000, 0.173042, 97733.498226, 97752.000000, 1.000000, 2, 0.000061, 19546.699645, 19546.699645
Z3, 13, 1, 720, 13240.000000, 0.554337, 23884.388017, 23896.000000, 1.000000, 2, 0.000061, 4776.877603, 4776.877603
Z3, 14, 1, 720, 28328.000000, 0.399326, 70939.533113, 70992.000000, 1.000000, 2, 0.000061, 14187.906623, 14187.906623
Z3, 15, 1, 720, 30528.000000, 0.173201, 176257.642854, 176456.000000, 1.000000, 2, 0.000061, 35251.528571, 35251.528571
Z3, 16, 1, 720, 16360.000000, 0.233399, 70094.559103, 70208.000000, 1.000000, 2, 0.000061, 14018.911821, 14018.911821
Z3, 17, 1, 720, 33216.000000, 0.173157, 191825.915210, 192000.000000, 1.000000, 2, 0.000061, 38365.183042, 38365.183042
Z3, 18, 1, 720, 28000.000000, 0.220043, 127247.856101, 127272.000000, 1.000000, 2, 0.000061, 25449.571220, 25449.571220
Z3, 19, 1, 720, 15744.000000, 0.173112, 90946.901428, 91000.000000, 1.000000, 2, 0.000061, 18189.380286, 18189.380286
Z3, 20, 1, 720, 16024.000000, 0.226717, 70678.422880, 70896.000000, 1.000000, 2, 0.000061, 14135.684576, 14135.684576
Z3, 21, 1, 720, 11576.000000, 0.173090, 66878.502513, 66912.000000, 1.000000, 2, 0.000061, 13375.700503, 13375.700503
Z3, 22, 1, 720, 10816.000000, 0.175462, 61642.976827, 61800.000000, 1.000000, 2, 0.000061, 12328.595365, 12328.595365
Z3, 23, 1, 720, 13224.000000, 0.352644, 37499.574642, 37568.000000, 1.000000, 2, 0.000061, 7499.914928, 7499.914928
Z3, 24, 1, 720, 17528.000000, 0.198870, 88137.979585, 88520.000000, 1.000000, 2, 0.000061, 17627.595917, 17627.595917
Z3, 25, 1, 720, 23824.000000, 0.173123, 137613.142101, 137704.000000, 1.000000, 2, 0.000061, 27522.628420, 27522.628420
Z3, 26, 1, 720, 11024.000000, 0.173015, 63717.018756, 63720.000000, 1.000000, 2, 0.000061, 12743.403751, 12743.403751
Z3, 27, 1, 720, 15112.000000, 0.173078, 87313.234495, 87352.000000, 1.000000, 2, 0.000061, 17462.646899, 17462.646899
Z3, 28, 1, 720, 24552.000000, 0.180869, 135744.654971, 136400.000000, 1.000000, 2, 0.000061, 27148.930994, 27148.930994
Z3, 29, 1, 720, 10824.000000, 0.172985, 62571.899298, 62928.000000, 1.000000, 2, 0.000061, 12514.379860, 12514.379860
Z3, 30, 1, 720, 6872.000000, 0.173024, 39717.033475, 39720.000000, 1.000000, 2, 0.000061, 7943.406695, 7943.406695
Z3, 31, 1, 720, 6872.000000, 0.173058, 39709.230431, 39720.000000, 1.000000, 2, 0.000061, 7941.846086, 7941.846086
Z3, 32, 1, 720, 6376.000000, 0.280716, 22713.347298, 22768.000000, 1.000000, 2, 0.000061, 4542.669460, 4542.669460
Z3, 33, 1, 720, 6872.000000, 0.207406, 33133.081974, 33192.000000, 1.000000, 2, 0.000061, 6626.616395, 6626.616395
