Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.875361, 11378.162838, 11376.000000, 1.000000, 2, 0.000055, 11378.162838, 11378.162838
Z2, 0, 1, 720, 8952.000000, 0.769828, 11628.571577, 11640.000000, 1.000000, 2, 0.000055, 5814.285789, 5814.285789
Z2, 1, 1, 720, 5424.000000, 0.342230, 15848.990445, 15856.000000, 1.000000, 2, 0.000055, 5282.996815, 5282.996815
Z2, 2, 1, 720, 7080.000000, 0.326982, 21652.568031, 21712.000000, 1.000000, 2, 0.000055, 5413.142008, 5413.142008
Z2, 3, 1, 720, 18976.000000, 0.556753, 34083.336776, 34128.000000, 1.000000, 2, 0.000055, 6816.667355, 6816.667355
Z2, 4, 1, 720, 8720.000000, 0.216487, 40279.554892, 40368.000000, 1.000000, 2, 0.000055, 8055.910978, 8055.910978
Z2, 5, 1, 720, 8336.000000, 0.393968, 21159.078910, 21208.000000, 1.000000, 2, 0.000055, 4231.815782, 4231.815782
Z2, 6, 1, 720, 6376.000000, 0.398541, 15998.353996, 16016.000000, 1.000000, 2, 0.000055, 3199.670799, 3199.670799
Z2, 7, 1, 720, 6872.000000, 0.169701, 40494.752535, 40656.000000, 1.000000, 2, 0.000055, 8098.950507, 8098.950507
Z3, 0, 1, 720, 7080.000000, 0.309213, 22896.838102, 22912.000000, 1.000000, 2, 0.000055, 4579.367620, 4579.367620
Z3, 1, 1, 720, 7080.000000, 0.131568, 53812.477198, 54040.000000, 1.000000, 2, 0.000055, 10762.495440, 10762.495440
Z3, 2, 1, 720, 5664.000000, 0.204954, 27635.469422, 27760.000000, 1.000000, 2, 0.000055, 5527.093884, 5527.093884
Z3, 3, 1, 720, 7080.000000, 0.073512, 96310.806399, 96984.000000, 1.000000, 2, 0.000055, 19262.161280, 19262.161280
Z3, 4, 1, 720, 7080.000000, 0.345313, 20503.137733, 20520.000000, 1.000000, 2, 0.000055, 4100.627547, 4100.627547
Z3, 5, 1, 720, 5664.000000, 0.185957, 30458.654420, 30616.000000, 1.000000, 2, 0.000055, 6091.730884, 6091.730884
Z3, 6, 1, 720, 7080.000000, 0.179195, 39510.030972, 39552.000000, 1.000000, 2, 0.000055, 7902.006194, 7902.006194
Z3, 7, 1, 720, 7080.000000, 0.074489, 95047.590919, 95672.000000, 1.000000, 2, 0.000055, 19009.518184, 19009.518184
Z3, 8, 1, 720, 5664.000000, 0.232216, 24391.084163, 24408.000000, 1.000000, 2, 0.000055, 4878.216833, 4878.216833
Z3, 9, 1, 720, 7080.000000, 0.092630, 76433.121019, 76952.000000, 1.000000, 2, 0.000055, 15286.624204, 15286.624204
Z3, 10, 1, 720, 12904.000000, 0.351496, 36711.655325, 36760.000000, 1.000000, 2, 0.000055, 7342.331065, 7342.331065
Z3, 11, 1, 720, 17344.000000, 0.314429, 55160.306460, 55232.000000, 1.000000, 2, 0.000055, 11032.061292, 11032.061292
Z3, 12, 1, 720, 16912.000000, 0.274529, 61603.692142, 61720.000000, 1.000000, 2, 0.000055, 12320.738428, 12320.738428
Z3, 13, 1, 720, 13240.000000, 0.334073, 39632.056467, 39640.000000, 1.000000, 2, 0.000055, 7926.411293, 7926.411293
Z3, 14, 1, 720, 28328.000000, 0.360143, 78657.644325, 78688.000000, 1.000000, 2, 0.000055, 15731.528865, 15731.528865
Z3, 15, 1, 720, 30528.000000, 0.349008, 87470.774309, 87472.000000, 1.000000, 2, 0.000055, 17494.154862, 17494.154862
Z3, 16, 1, 720, 16360.000000, 0.172046, 95090.847797, 95112.000000, 1.000000, 2, 0.000055, 19018.169559, 19018.169559
Z3, 17, 1, 720, 33216.000000, 0.347311, 95637.627371, 95720.000000, 1.000000, 2, 0.000055, 19127.525474, 19127.525474
Z3, 18, 1, 720, 28000.000000, 0.292388, 95763.164015, 95888.000000, 1.000000, 2, 0.000055, 19152.632803, 19152.632803
Z3, 19, 1, 720, 15744.000000, 0.186600, 84372.990354, 84640.000000, 1.000000, 2, 0.000055, 16874.598071, 16874.598071
Z3, 20, 1, 720, 16024.000000, 0.108223, 148064.644299, 148368.000000, 1.000000, 2, 0.000055, 29612.928860, 29612.928860
Z3, 21, 1, 720, 11576.000000, 0.391214, 29589.943100, 29600.000000, 1.000000, 2, 0.000055, 5917.988620, 5917.988620
Z3, 22, 1, 720, 10816.000000, 0.170478, 63445.136616, 63616.000000, 1.000000, 2, 0.000055, 12689.027323, 12689.027323
Z3, 23, 1, 720, 13224.000000, 0.142697, 92671.885183, 93120.000000, 1.000000, 2, 0.000055, 18534.377037, 18534.377037
Z3, 24, 1, 720, 17528.000000, 0.330790, 52988.300735, 53112.000000, 1.000000, 2, 0.000055, 10597.660147, 10597.660147
Z3, 25, 1, 720, 23824.000000, 0.223029, 106820.189303, 106832.000000, 1.000000, 2, 0.000055, 21364.037861, 21364.037861
Z3, 26, 1, 720, 11024.000000, 0.281248, 39196.723177, 39224.000000, 1.000000, 2, 0.000055, 7839.344635, 7839.344635
Z3, 27, 1, 720, 15112.000000, 0.201014, 75178.843265, 75184.000000, 1.000000, 2, 0.000055, 15035.768653, 15035.768653
Z3, 28, 1, 720, 24552.000000, 0.182821, 134295.294304, 134896.000000, 1.000000, 2, 0.000055, 26859.058861, 26859.058861
Z3, 29, 1, 720, 10824.000000, 0.341528, 31692.862664, 31736.000000, 1.000000, 2, 0.000055, 6338.572533, 6338.572533
Z3, 30, 1, 720, 6872.000000, 0.068253, 100684.219009, 101056.000000, 1.000000, 2, 0.000055, 20136.843802, 20136.843802
Z3, 31, 1, 720, 6872.000000, 0.006252, 1099168.266155, 1145328.000000, 1.000000, 2, 0.000055, 219833.653231, 219833.653231
Z3, 32, 1, 720, 6376.000000, 0.097347, 65497.652727, 65728.000000, 1.000000, 2, 0.000055, 13099.530545, 13099.530545
Z3, 33, 1, 720, 6872.000000, 0.199060, 34522.254597, 34528.000000, 1.000000, 2, 0.000055, 6904.450919, 6904.450919
Z3, 34, 1, 720, 6872.000000, 0.208107, 33021.474530, 33032.000000, 1.000000, 2, 0.000055, 6604.294906, 6604.294906
Z3, 35, 1, 720, 6376.000000, 0.205086, 31089.396643, 31096.000000, 1.000000, 2, 0.000055, 6217.879329, 6217.879329
Z3, 36, 1, 720, 6872.000000, 0.164855, 41685.117224, 41896.000000, 1.000000, 2, 0.000055, 8337.023445, 8337.023445
Z3, 37, 1, 720, 6872.000000, 0.002976, 2309139.784946, 3436000.000000, 1.000000, 2, 0.000055, 461827.956989, 461827.956989
Z3, 38, 1, 720, 6376.000000, 0.106655, 59781.538606, 60144.000000, 1.000000, 2, 0.000055, 11956.307721, 11956.307721
Z1, 0, 2, 4K, 35968.000000, 0.326060, 110310.985708, 110328.000000, 1.000000, 2, 12.301244, 34018.504863, 34018.504863
Z2, 0, 2, 720, 6624.000000, 0.798512, 8295.429499, 8296.000000, 1.000000, 2, 12.301244, 13615.393621, 13615.393621
Z2, 1, 2, 720, 5664.000000, 0.287197, 19721.654474, 19728.000000, 1.000000, 2, 12.301244, 15900.638616, 15900.638616
Z2, 2, 2, 720, 7080.000000, 0.081353, 87028.136639, 87400.000000, 1.000000, 2, 12.301244, 29361.935049, 29361.935049
Z2, 3, 2, 720, 7080.000000, 0.303126, 23356.623978, 23360.000000, 1.000000, 2, 12.301244, 16627.632517, 16627.632517
Z2, 4, 2, 720, 12128.000000, 0.138779, 87390.743556, 87880.000000, 1.000000, 2, 12.301244, 29434.456432, 29434.456432
Z2, 5, 2, 720, 18392.000000, 0.071666, 256634.945441, 259040.000000, 1.000000, 2, 12.301244, 63283.296809, 63283.296809
Z2, 6, 2, 720, 10632.000000, 0.315569, 33691.522298, 33752.000000, 1.000000, 2, 12.301244, 18694.612181, 18694.612181
Z2, 7, 2, 720, 8048.000000, 0.194469, 41384.488016, 41480.000000, 1.000000, 2, 12.301244, 20233.205324, 20233.205324
