Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1,720,0.0,4e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z2,0,1,720,0.0,2.202685,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z2,1,1,720,0.0,0.200411,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z2,2,1,720,0.0,2.202658,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z2,3,1,720,0.0,0.200507,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z2,4,1,720,0.0,0.200518,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z2,5,1,720,0.0,0.000108,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z2,6,1,720,0.0,0.000107,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z2,7,1,720,0.0,2.202652,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z3,0,1,720,0.0,0.000126,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z3,1,1,720,0.0,0.20038,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
Z3,2,1,720,0.0,2.202659,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,-351.64546880000006,100,20,0
