Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.018851, 528353.933478, 553328.000000, 1.000000, 2, 0.000055, 528353.933478, 528353.933478
Z2, 0, 1, 720, 8952.000000, 0.018528, 483160.621762, 497328.000000, 1.000000, 2, 0.000055, 241580.310881, 241580.310881
Z2, 1, 1, 720, 5424.000000, 0.003357, 1615728.328865, 1808000.000000, 1.000000, 2, 0.000055, 538576.109622, 538576.109622
Z2, 2, 1, 720, 7080.000000, 0.003268, 2166462.668299, 2360000.000000, 1.000000, 2, 0.000055, 541615.667075, 541615.667075
Z2, 3, 1, 720, 18976.000000, 0.003271, 5801284.011006, 6325328.000000, 1.000000, 2, 0.000055, 1160256.802201, 1160256.802201
Z2, 4, 1, 720, 8720.000000, 0.001559, 5593329.057088, 8720000.000000, 1.000000, 2, 0.000055, 1118665.811418, 1118665.811418
Z2, 5, 1, 720, 8336.000000, 0.003399, 2452486.025302, 2778664.000000, 1.000000, 2, 0.000055, 490497.205060, 490497.205060
Z2, 6, 1, 720, 6376.000000, 0.003396, 1877502.944641, 2125328.000000, 1.000000, 2, 0.000055, 375500.588928, 375500.588928
Z2, 7, 1, 720, 6872.000000, 0.003396, 2023557.126031, 2290664.000000, 1.000000, 2, 0.000055, 404711.425206, 404711.425206
Z3, 0, 1, 720, 7080.000000, 0.022285, 317702.490464, 321816.000000, 1.000000, 2, 0.000055, 63540.498093, 63540.498093
Z3, 1, 1, 720, 7080.000000, 0.003453, 2050390.964379, 2360000.000000, 1.000000, 2, 0.000055, 410078.192876, 410078.192876
Z3, 2, 1, 720, 5664.000000, 0.003515, 1611379.800853, 1888000.000000, 1.000000, 2, 0.000055, 322275.960171, 322275.960171
Z3, 3, 1, 720, 7080.000000, 0.003534, 2003395.585739, 2360000.000000, 1.000000, 2, 0.000055, 400679.117148, 400679.117148
Z3, 4, 1, 720, 7080.000000, 0.003505, 2019971.469330, 2360000.000000, 1.000000, 2, 0.000055, 403994.293866, 403994.293866
Z3, 5, 1, 720, 5664.000000, 0.003505, 1615977.175464, 1888000.000000, 1.000000, 2, 0.000055, 323195.435093, 323195.435093
Z3, 6, 1, 720, 7080.000000, 0.003507, 2018819.503849, 2360000.000000, 1.000000, 2, 0.000055, 403763.900770, 403763.900770
