Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.017584, 566424.021838, 585880.000000, 1.000000, 2, 0.000056, 566424.021838, 566424.021838
Z2, 0, 1, 720, 8952.000000, 0.019051, 469896.593355, 471152.000000, 1.000000, 2, 0.000056, 234948.296677, 234948.296677
Z2, 1, 1, 720, 5424.000000, 0.003364, 1612366.230678, 1808000.000000, 1.000000, 2, 0.000056, 537455.410226, 537455.410226
Z2, 2, 1, 720, 7080.000000, 0.003395, 2085419.734904, 2360000.000000, 1.000000, 2, 0.000056, 521354.933726, 521354.933726
Z2, 3, 1, 720, 18976.000000, 0.003534, 5369552.914544, 6325328.000000, 1.000000, 2, 0.000056, 1073910.582909, 1073910.582909
Z2, 4, 1, 720, 8720.000000, 0.001556, 5604113.110540, 8720000.000000, 1.000000, 2, 0.000056, 1120822.622108, 1120822.622108
Z2, 5, 1, 720, 8336.000000, 0.003401, 2451043.810644, 2778664.000000, 1.000000, 2, 0.000056, 490208.762129, 490208.762129
Z2, 6, 1, 720, 6376.000000, 0.003397, 1876950.250221, 2125328.000000, 1.000000, 2, 0.000056, 375390.050044, 375390.050044
Z2, 7, 1, 720, 6872.000000, 0.003394, 2024749.558044, 2290664.000000, 1.000000, 2, 0.000056, 404949.911609, 404949.911609
Z3, 0, 1, 720, 7080.000000, 0.022604, 313218.899310, 321816.000000, 1.000000, 2, 0.000056, 62643.779862, 62643.779862
Z3, 1, 1, 720, 7080.000000, 0.003306, 2141560.798548, 2360000.000000, 1.000000, 2, 0.000056, 428312.159710, 428312.159710
Z3, 2, 1, 720, 5664.000000, 0.003401, 1665392.531608, 1888000.000000, 1.000000, 2, 0.000056, 333078.506322, 333078.506322
Z3, 3, 1, 720, 7080.000000, 0.003404, 2079905.992949, 2360000.000000, 1.000000, 2, 0.000056, 415981.198590, 415981.198590
Z3, 4, 1, 720, 7080.000000, 0.003372, 2099644.128114, 2360000.000000, 1.000000, 2, 0.000056, 419928.825623, 419928.825623
Z3, 5, 1, 720, 5664.000000, 0.003375, 1678222.222222, 1888000.000000, 1.000000, 2, 0.000056, 335644.444444, 335644.444444
Z3, 6, 1, 720, 7080.000000, 0.003375, 2097777.777778, 2360000.000000, 1.000000, 2, 0.000056, 419555.555556, 419555.555556
Z3, 7, 1, 720, 7080.000000, 0.003372, 2099644.128114, 2360000.000000, 1.000000, 2, 0.000056, 419928.825623, 419928.825623
Z3, 8, 1, 720, 5664.000000, 0.003500, 1618285.714286, 1888000.000000, 1.000000, 2, 0.000056, 323657.142857, 323657.142857
Z3, 9, 1, 720, 7080.000000, 0.003357, 2109025.915996, 2360000.000000, 1.000000, 2, 0.000056, 421805.183199, 421805.183199
Z3, 10, 1, 720, 12904.000000, 0.003649, 3536311.318169, 4301328.000000, 1.000000, 2, 0.000056, 707262.263634, 707262.263634
Z3, 11, 1, 720, 17344.000000, 0.003642, 4762218.561230, 5781328.000000, 1.000000, 2, 0.000056, 952443.712246, 952443.712246
Z3, 12, 1, 720, 16912.000000, 0.003629, 4660236.979884, 5637328.000000, 1.000000, 2, 0.000056, 932047.395977, 932047.395977
Z3, 13, 1, 720, 13240.000000, 0.003641, 3636363.636364, 4413328.000000, 1.000000, 2, 0.000056, 727272.727273, 727272.727273
Z3, 14, 1, 720, 28328.000000, 0.003642, 7778143.876991, 9442664.000000, 1.000000, 2, 0.000056, 1555628.775398, 1555628.775398
Z3, 15, 1, 720, 30528.000000, 0.003634, 8400660.429279, 10176000.000000, 1.000000, 2, 0.000056, 1680132.085856, 1680132.085856
Z3, 16, 1, 720, 16360.000000, 0.003236, 5055624.227441, 5453328.000000, 1.000000, 2, 0.000056, 1011124.845488, 1011124.845488
Z3, 17, 1, 720, 33216.000000, 0.003642, 9120263.591433, 11072000.000000, 1.000000, 2, 0.000056, 1824052.718287, 1824052.718287
Z3, 18, 1, 720, 28000.000000, 0.003652, 7667031.763417, 9333328.000000, 1.000000, 2, 0.000056, 1533406.352683, 1533406.352683
Z3, 19, 1, 720, 15744.000000, 0.003605, 4367267.683773, 5248000.000000, 1.000000, 2, 0.000056, 873453.536755, 873453.536755
Z3, 20, 1, 720, 16024.000000, 0.003509, 4566543.174694, 5341328.000000, 1.000000, 2, 0.000056, 913308.634939, 913308.634939
Z3, 21, 1, 720, 11576.000000, 0.003630, 3188980.716253, 3858664.000000, 1.000000, 2, 0.000056, 637796.143251, 637796.143251
Z3, 22, 1, 720, 10816.000000, 0.003509, 3082359.646623, 3605328.000000, 1.000000, 2, 0.000056, 616471.929325, 616471.929325
Z3, 23, 1, 720, 13224.000000, 0.003501, 3777206.512425, 4408000.000000, 1.000000, 2, 0.000056, 755441.302485, 755441.302485
Z3, 24, 1, 720, 17528.000000, 0.003639, 4816707.886782, 5842664.000000, 1.000000, 2, 0.000056, 963341.577356, 963341.577356
Z3, 25, 1, 720, 23824.000000, 0.003639, 6546853.531190, 7941328.000000, 1.000000, 2, 0.000056, 1309370.706238, 1309370.706238
Z3, 26, 1, 720, 11024.000000, 0.003633, 3034406.826314, 3674664.000000, 1.000000, 2, 0.000056, 606881.365263, 606881.365263
Z3, 27, 1, 720, 15112.000000, 0.003632, 4160792.951542, 5037328.000000, 1.000000, 2, 0.000056, 832158.590308, 832158.590308
Z3, 28, 1, 720, 24552.000000, 0.003642, 6741350.906096, 8184000.000000, 1.000000, 2, 0.000056, 1348270.181219, 1348270.181219
Z3, 29, 1, 720, 10824.000000, 0.003645, 2969547.325103, 3608000.000000, 1.000000, 2, 0.000056, 593909.465021, 593909.465021
Z3, 30, 1, 720, 6872.000000, 0.003470, 1980403.458213, 2290664.000000, 1.000000, 2, 0.000056, 396080.691643, 396080.691643
Z3, 31, 1, 720, 6872.000000, 0.003510, 1957834.757835, 2290664.000000, 1.000000, 2, 0.000056, 391566.951567, 391566.951567
Z3, 32, 1, 720, 6376.000000, 0.003503, 1820154.153583, 2125328.000000, 1.000000, 2, 0.000056, 364030.830717, 364030.830717
Z3, 33, 1, 720, 6872.000000, 0.003500, 1963428.571429, 2290664.000000, 1.000000, 2, 0.000056, 392685.714286, 392685.714286
Z3, 34, 1, 720, 6872.000000, 0.003643, 1886357.397749, 2290664.000000, 1.000000, 2, 0.000056, 377271.479550, 377271.479550
Z3, 35, 1, 720, 6376.000000, 0.003500, 1821714.285714, 2125328.000000, 1.000000, 2, 0.000056, 364342.857143, 364342.857143
Z3, 36, 1, 720, 6872.000000, 0.003508, 1958950.969213, 2290664.000000, 1.000000, 2, 0.000056, 391790.193843, 391790.193843
Z3, 37, 1, 720, 6872.000000, 0.003370, 2039169.139466, 2290664.000000, 1.000000, 2, 0.000056, 407833.827893, 407833.827893
Z3, 38, 1, 720, 6376.000000, 0.003499, 1822234.924264, 2125328.000000, 1.000000, 2, 0.000056, 364446.984853, 364446.984853
Z1, 0, 2, 4K, 33112.000000, 0.047468, 697564.675150, 704504.000000, 1.779445, 2, 0.220611, 503959.919883, 503959.919883
