Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.017241, 577692.709240, 585880.000000, 1.000000, 2, 0.000055, 577692.709240, 577692.709240
Z2, 0, 1, 720, 8952.000000, 0.018714, 478358.448221, 497328.000000, 1.000000, 2, 0.000055, 239179.224110, 239179.224110
Z2, 1, 1, 720, 5424.000000, 0.001532, 3540469.973890, 5424000.000000, 1.000000, 2, 0.000055, 1180156.657963, 1180156.657963
Z2, 2, 1, 720, 7080.000000, 0.003528, 2006802.721088, 2360000.000000, 1.000000, 2, 0.000055, 501700.680272, 501700.680272
Z2, 3, 1, 720, 18976.000000, 0.003531, 5374114.981592, 6325328.000000, 1.000000, 2, 0.000055, 1074822.996318, 1074822.996318
Z2, 4, 1, 720, 8720.000000, 0.001688, 5165876.777251, 8720000.000000, 1.000000, 2, 0.000055, 1033175.355450, 1033175.355450
Z2, 5, 1, 720, 8336.000000, 0.003484, 2392652.123995, 2778664.000000, 1.000000, 2, 0.000055, 478530.424799, 478530.424799
Z2, 6, 1, 720, 6376.000000, 0.003444, 1851335.656214, 2125328.000000, 1.000000, 2, 0.000055, 370267.131243, 370267.131243
Z2, 7, 1, 720, 6872.000000, 0.003527, 1948398.072016, 2290664.000000, 1.000000, 2, 0.000055, 389679.614403, 389679.614403
Z3, 0, 1, 720, 7080.000000, 0.022239, 318359.638473, 321816.000000, 1.000000, 2, 0.000055, 63671.927695, 63671.927695
Z3, 1, 1, 720, 7080.000000, 0.003426, 2066549.912434, 2360000.000000, 1.000000, 2, 0.000055, 413309.982487, 413309.982487
Z3, 2, 1, 720, 5664.000000, 0.003485, 1625251.076040, 1888000.000000, 1.000000, 2, 0.000055, 325050.215208, 325050.215208
Z3, 3, 1, 720, 7080.000000, 0.003634, 1948266.373143, 2360000.000000, 1.000000, 2, 0.000055, 389653.274629, 389653.274629
Z3, 4, 1, 720, 7080.000000, 0.003506, 2019395.322305, 2360000.000000, 1.000000, 2, 0.000055, 403879.064461, 403879.064461
Z3, 5, 1, 720, 5664.000000, 0.003509, 1614135.081220, 1888000.000000, 1.000000, 2, 0.000055, 322827.016244, 322827.016244
Z3, 6, 1, 720, 7080.000000, 0.003635, 1947730.398900, 2360000.000000, 1.000000, 2, 0.000055, 389546.079780, 389546.079780
Z3, 7, 1, 720, 7080.000000, 0.003511, 2016519.510111, 2360000.000000, 1.000000, 2, 0.000055, 403303.902022, 403303.902022
Z3, 8, 1, 720, 5664.000000, 0.003500, 1618285.714286, 1888000.000000, 1.000000, 2, 0.000055, 323657.142857, 323657.142857
Z3, 9, 1, 720, 7080.000000, 0.003505, 2019971.469330, 2360000.000000, 1.000000, 2, 0.000055, 403994.293866, 403994.293866
Z3, 10, 1, 720, 12904.000000, 0.003649, 3536311.318169, 4301328.000000, 1.000000, 2, 0.000055, 707262.263634, 707262.263634
