Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,qt_sw,QoE,delay,jitter,loss
Z1,0,1,720,0.0,5.1e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,0,1,720,0.0,2.6e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,1,1,720,0.0,2.5e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,2,1,720,0.0,2.1e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,3,1,720,0.0,2.1e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,4,1,720,0.0,2.3e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,5,1,720,0.0,2.1e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,6,1,720,0.0,2.3e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,7,1,720,0.0,2.2e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,0,1,720,0.0,2.7e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,1,1,720,0.0,2.3e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,2,1,720,0.0,2.3e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,3,1,720,0.0,2.2e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,4,1,720,0.0,2.2e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,5,1,720,0.0,2.2e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,6,1,720,0.0,2.3e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,7,1,720,0.0,2.2e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,8,1,720,0.0,1.7e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,9,1,720,0.0,1.6e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,10,1,720,0.0,1.6e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,11,1,720,0.0,2.3e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,12,1,720,0.0,2.4e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,13,1,720,0.0,2.5e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,14,1,720,0.0,2.4e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,15,1,720,0.0,2.5e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,16,1,720,0.0,2.5e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,17,1,720,0.0,2.5e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,18,1,720,0.0,2.5e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,19,1,720,0.0,2.5e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,20,1,720,0.0,1.8e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,21,1,720,0.0,2.2e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,22,1,720,0.0,1.7e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,23,1,720,0.0,1.7e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,24,1,720,0.0,1.7e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,25,1,720,0.0,2.1e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,26,1,720,0.0,2.1e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,27,1,720,0.0,1.7e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,28,1,720,0.0,1.8e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,29,1,720,0.0,1.8e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,30,1,720,0.0,1.9e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,31,1,720,0.0,1.9e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,32,1,720,0.0,1.9e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,33,1,720,0.0,1.8e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,34,1,720,0.0,1.8e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,35,1,720,0.0,1.8e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,36,1,720,0.0,2.4e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,37,1,720,0.0,1.8e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,38,1,720,0.0,1.9e-05,0.0,0.0,1.0,2,5.5e-05,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z1,0,2,720,0.0,3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,0,2,720,0.0,3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,1,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,2,2,720,0.0,1.8e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,3,2,720,0.0,1.8e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,4,2,720,0.0,2.1e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,5,2,720,0.0,2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,6,2,720,0.0,2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z2,7,2,720,0.0,2.6e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,0,2,720,0.0,3.5e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,1,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,2,2,720,0.0,2.1e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,3,2,720,0.0,2.1e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,4,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,5,2,720,0.0,2.5e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,6,2,720,0.0,2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,7,2,720,0.0,2.1e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,8,2,720,0.0,2.5e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,9,2,720,0.0,2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,10,2,720,0.0,2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,11,2,720,0.0,2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,12,2,720,0.0,3.4e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,13,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,14,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,15,2,720,0.0,2.3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,16,2,720,0.0,2.3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,17,2,720,0.0,2.3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,18,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,19,2,720,0.0,2.3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,20,2,720,0.0,2.9e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,21,2,720,0.0,2.3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,22,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,23,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,24,2,720,0.0,2.3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,25,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,26,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,27,2,720,0.0,2.1e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,28,2,720,0.0,2.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,29,2,720,0.0,2.3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,30,2,720,0.0,2.3e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,31,2,720,0.0,3.2e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,32,2,720,0.0,2.6e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
Z3,33,2,720,0.0,2.6e-05,0.0,0.0,1.984232,2,0.015823,0.0,0.0,0.0,-5.671803199999999,0,0,3
