Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.017512, 568752.855185, 585880.000000, 1.000000, 2, 0.000056, 568752.855185, 568752.855185
Z2, 0, 1, 720, 8952.000000, 0.018793, 476347.576225, 497328.000000, 1.000000, 2, 0.000056, 238173.788113, 238173.788113
Z2, 1, 1, 720, 5424.000000, 0.001657, 3273385.636693, 5424000.000000, 1.000000, 2, 0.000056, 1091128.545564, 1091128.545564
Z2, 2, 1, 720, 7080.000000, 0.003534, 2003395.585739, 2360000.000000, 1.000000, 2, 0.000056, 500848.896435, 500848.896435
Z2, 3, 1, 720, 18976.000000, 0.003663, 5180453.180453, 6325328.000000, 1.000000, 2, 0.000056, 1036090.636091, 1036090.636091
Z2, 4, 1, 720, 8720.000000, 0.001692, 5153664.302600, 8720000.000000, 1.000000, 2, 0.000056, 1030732.860520, 1030732.860520
Z2, 5, 1, 720, 8336.000000, 0.003527, 2363481.712504, 2778664.000000, 1.000000, 2, 0.000056, 472696.342501, 472696.342501
Z2, 6, 1, 720, 6376.000000, 0.003526, 1808281.338627, 2125328.000000, 1.000000, 2, 0.000056, 361656.267725, 361656.267725
Z2, 7, 1, 720, 6872.000000, 0.003531, 1946190.880770, 2290664.000000, 1.000000, 2, 0.000056, 389238.176154, 389238.176154
Z3, 0, 1, 720, 7080.000000, 0.022901, 309156.805380, 321816.000000, 1.000000, 2, 0.000056, 61831.361076, 61831.361076
Z3, 1, 1, 720, 7080.000000, 0.003555, 1991561.181435, 2360000.000000, 1.000000, 2, 0.000056, 398312.236287, 398312.236287
Z3, 2, 1, 720, 5664.000000, 0.003639, 1556471.558120, 1888000.000000, 1.000000, 2, 0.000056, 311294.311624, 311294.311624
Z3, 3, 1, 720, 7080.000000, 0.003634, 1948266.373143, 2360000.000000, 1.000000, 2, 0.000056, 389653.274629, 389653.274629
Z3, 4, 1, 720, 7080.000000, 0.003636, 1947194.719472, 2360000.000000, 1.000000, 2, 0.000056, 389438.943894, 389438.943894
Z3, 5, 1, 720, 5664.000000, 0.003508, 1614595.210946, 1888000.000000, 1.000000, 2, 0.000056, 322919.042189, 322919.042189
Z3, 6, 1, 720, 7080.000000, 0.003645, 1942386.831276, 2360000.000000, 1.000000, 2, 0.000056, 388477.366255, 388477.366255
Z3, 7, 1, 720, 7080.000000, 0.003631, 1949876.067199, 2360000.000000, 1.000000, 2, 0.000056, 389975.213440, 389975.213440
Z3, 8, 1, 720, 5664.000000, 0.003633, 1559042.113955, 1888000.000000, 1.000000, 2, 0.000056, 311808.422791, 311808.422791
Z3, 9, 1, 720, 7080.000000, 0.003637, 1946659.334616, 2360000.000000, 1.000000, 2, 0.000056, 389331.866923, 389331.866923
Z3, 10, 1, 720, 12904.000000, 0.003653, 3532439.091158, 4301328.000000, 1.000000, 2, 0.000056, 706487.818232, 706487.818232
Z3, 11, 1, 720, 17344.000000, 0.003639, 4766144.545205, 5781328.000000, 1.000000, 2, 0.000056, 953228.909041, 953228.909041
Z3, 12, 1, 720, 16912.000000, 0.003633, 4655105.973025, 5637328.000000, 1.000000, 2, 0.000056, 931021.194605, 931021.194605
Z3, 13, 1, 720, 13240.000000, 0.003638, 3639362.286971, 4413328.000000, 1.000000, 2, 0.000056, 727872.457394, 727872.457394
Z3, 14, 1, 720, 28328.000000, 0.003641, 7780280.142818, 9442664.000000, 1.000000, 2, 0.000056, 1556056.028564, 1556056.028564
Z3, 15, 1, 720, 30528.000000, 0.003638, 8391423.859263, 10176000.000000, 1.000000, 2, 0.000056, 1678284.771853, 1678284.771853
Z3, 16, 1, 720, 16360.000000, 0.003626, 4511858.797573, 5453328.000000, 1.000000, 2, 0.000056, 902371.759515, 902371.759515
Z3, 17, 1, 720, 33216.000000, 0.003645, 9112757.201646, 11072000.000000, 1.000000, 2, 0.000056, 1822551.440329, 1822551.440329
Z3, 18, 1, 720, 28000.000000, 0.003633, 7707129.094412, 9333328.000000, 1.000000, 2, 0.000056, 1541425.818882, 1541425.818882
Z3, 19, 1, 720, 15744.000000, 0.003625, 4343172.413793, 5248000.000000, 1.000000, 2, 0.000056, 868634.482759, 868634.482759
Z3, 20, 1, 720, 16024.000000, 0.003638, 4404617.921935, 5341328.000000, 1.000000, 2, 0.000056, 880923.584387, 880923.584387
Z3, 21, 1, 720, 11576.000000, 0.003633, 3186347.371318, 3858664.000000, 1.000000, 2, 0.000056, 637269.474264, 637269.474264
Z3, 22, 1, 720, 10816.000000, 0.003643, 2968981.608564, 3605328.000000, 1.000000, 2, 0.000056, 593796.321713, 593796.321713
Z3, 23, 1, 720, 13224.000000, 0.003632, 3640969.162996, 4408000.000000, 1.000000, 2, 0.000056, 728193.832599, 728193.832599
Z3, 24, 1, 720, 17528.000000, 0.003641, 4814062.070860, 5842664.000000, 1.000000, 2, 0.000056, 962812.414172, 962812.414172
Z3, 25, 1, 720, 23824.000000, 0.003635, 6554057.771664, 7941328.000000, 1.000000, 2, 0.000056, 1310811.554333, 1310811.554333
Z3, 26, 1, 720, 11024.000000, 0.003634, 3033571.821684, 3674664.000000, 1.000000, 2, 0.000056, 606714.364337, 606714.364337
Z3, 27, 1, 720, 15112.000000, 0.003632, 4160792.951542, 5037328.000000, 1.000000, 2, 0.000056, 832158.590308, 832158.590308
Z3, 28, 1, 720, 24552.000000, 0.003645, 6735802.469136, 8184000.000000, 1.000000, 2, 0.000056, 1347160.493827, 1347160.493827
Z3, 29, 1, 720, 10824.000000, 0.003627, 2984284.532672, 3608000.000000, 1.000000, 2, 0.000056, 596856.906534, 596856.906534
Z3, 30, 1, 720, 6872.000000, 0.003625, 1895724.137931, 2290664.000000, 1.000000, 2, 0.000056, 379144.827586, 379144.827586
Z3, 31, 1, 720, 6872.000000, 0.003633, 1891549.683457, 2290664.000000, 1.000000, 2, 0.000056, 378309.936691, 378309.936691
Z3, 32, 1, 720, 6376.000000, 0.003632, 1755506.607930, 2125328.000000, 1.000000, 2, 0.000056, 351101.321586, 351101.321586
Z3, 33, 1, 720, 6872.000000, 0.003637, 1889469.342865, 2290664.000000, 1.000000, 2, 0.000056, 377893.868573, 377893.868573
Z3, 34, 1, 720, 6872.000000, 0.003637, 1889469.342865, 2290664.000000, 1.000000, 2, 0.000056, 377893.868573, 377893.868573
