Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,QoE,QoE1,Z1,Z2,Z3,delay,jitter,loss
Z1,0,1,720,9960.0,0.362511,27475.028344,27512.0,1.0,2,6.2e-05,27475.028344,27475.028344,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z2,0,1,720,8952.0,0.33359,26835.336791,26880.0,1.0,2,6.2e-05,13417.668395,13417.668395,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z2,1,1,720,5424.0,0.101916,53220.29907,53696.0,1.0,2,6.2e-05,17740.09969,17740.09969,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z2,2,1,720,7080.0,0.12271,57697.009209,58032.0,1.0,2,6.2e-05,14424.252302,14424.252302,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z2,3,1,720,18976.0,0.103979,182498.389098,184232.0,1.0,2,6.2e-05,36499.67782,36499.67782,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z2,4,1,720,8720.0,0.077783,112106.758546,113240.0,1.0,2,6.2e-05,22421.351709,22421.351709,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z2,5,1,720,8336.0,0.112896,73837.868481,74424.0,1.0,2,6.2e-05,14767.573696,14767.573696,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z2,6,1,720,6376.0,0.076309,83555.019722,83888.0,1.0,2,6.2e-05,16711.003944,16711.003944,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z2,7,1,720,6872.0,0.109921,62517.626295,63040.0,1.0,2,6.2e-05,12503.525259,12503.525259,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,0,1,720,7080.0,0.304373,23260.933131,23288.0,1.0,2,6.2e-05,4652.186626,4652.186626,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,1,1,720,7080.0,0.107517,65850.05162,66168.0,1.0,2,6.2e-05,13170.010324,13170.010324,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,2,1,720,5664.0,0.101696,55695.405916,56072.0,1.0,2,6.2e-05,11139.081183,11139.081183,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,3,1,720,7080.0,0.125555,56389.630043,56640.0,1.0,2,6.2e-05,11277.926009,11277.926009,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,4,1,720,7080.0,0.115813,61133.033425,61560.0,1.0,2,6.2e-05,12226.606685,12226.606685,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,5,1,720,5664.0,0.103804,54564.371315,54984.0,1.0,2,6.2e-05,10912.874263,10912.874263,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,6,1,720,7080.0,0.089914,78741.908935,79544.0,1.0,2,6.2e-05,15748.381787,15748.381787,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,7,1,720,7080.0,0.082715,85595.115759,86336.0,1.0,2,6.2e-05,17119.023152,17119.023152,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,8,1,720,5664.0,0.09618,58889.582034,59000.0,1.0,2,6.2e-05,11777.916407,11777.916407,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,9,1,720,7080.0,0.096559,73323.046013,73744.0,1.0,2,6.2e-05,14664.609203,14664.609203,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,10,1,720,12904.0,0.080998,159312.575619,161296.0,1.0,2,6.2e-05,31862.515124,31862.515124,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,11,1,720,17344.0,0.079769,217427.822838,219544.0,1.0,2,6.2e-05,43485.564568,43485.564568,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
Z3,12,1,720,16912.0,0.099224,170442.634846,170824.0,1.0,2,6.2e-05,34088.526969,34088.526969,1754785.2271249997,4808134.652152301,236188.35012169997,5298177.9401327,35831672.190405704,100,25,0
