Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 9960.000000, 0.172661, 57685.290830, 57904.000000, 1.000000, 2, 0.000061, 57685.290830, 57685.290830
Z2, 0, 1, 720, 8952.000000, 0.174362, 51341.462016, 51448.000000, 1.000000, 2, 0.000061, 25670.731008, 25670.731008
Z2, 1, 1, 720, 5424.000000, 0.050960, 106436.420722, 108480.000000, 1.000000, 2, 0.000061, 35478.806907, 35478.806907
Z2, 2, 1, 720, 7080.000000, 0.051014, 138785.431450, 138816.000000, 1.000000, 2, 0.000061, 34696.357863, 34696.357863
Z2, 3, 1, 720, 18976.000000, 0.051070, 371568.435481, 372072.000000, 1.000000, 2, 0.000061, 74313.687096, 74313.687096
Z2, 4, 1, 720, 8720.000000, 0.051023, 170903.318111, 170976.000000, 1.000000, 2, 0.000061, 34180.663622, 34180.663622
Z2, 5, 1, 720, 8336.000000, 0.051007, 163428.549023, 163448.000000, 1.000000, 2, 0.000061, 32685.709805, 32685.709805
Z2, 6, 1, 720, 6376.000000, 0.051007, 125002.450644, 125016.000000, 1.000000, 2, 0.000061, 25000.490129, 25000.490129
Z2, 7, 1, 720, 6872.000000, 0.051026, 134676.439462, 134744.000000, 1.000000, 2, 0.000061, 26935.287892, 26935.287892
Z3, 0, 1, 720, 7080.000000, 0.173000, 40924.855491, 40920.000000, 1.000000, 2, 0.000061, 8184.971098, 8184.971098
Z3, 1, 1, 720, 7080.000000, 0.050898, 139101.732878, 141600.000000, 1.000000, 2, 0.000061, 27820.346576, 27820.346576
Z3, 2, 1, 720, 5664.000000, 0.051018, 111019.640127, 111056.000000, 1.000000, 2, 0.000061, 22203.928025, 22203.928025
Z3, 3, 1, 720, 7080.000000, 0.050960, 138932.496075, 141600.000000, 1.000000, 2, 0.000061, 27786.499215, 27786.499215
Z3, 4, 1, 720, 7080.000000, 0.050932, 139008.874578, 141600.000000, 1.000000, 2, 0.000061, 27801.774916, 27801.774916
Z3, 5, 1, 720, 5664.000000, 0.050940, 111189.634865, 113280.000000, 1.000000, 2, 0.000061, 22237.926973, 22237.926973
Z3, 6, 1, 720, 7080.000000, 0.050959, 138935.222434, 141600.000000, 1.000000, 2, 0.000061, 27787.044487, 27787.044487
Z3, 7, 1, 720, 7080.000000, 0.050876, 139161.883796, 141600.000000, 1.000000, 2, 0.000061, 27832.376759, 27832.376759
Z3, 8, 1, 720, 5664.000000, 0.050934, 111202.732949, 113280.000000, 1.000000, 2, 0.000061, 22240.546590, 22240.546590
Z3, 9, 1, 720, 7080.000000, 0.050963, 138924.317642, 141600.000000, 1.000000, 2, 0.000061, 27784.863528, 27784.863528
Z3, 10, 1, 720, 12904.000000, 0.050973, 253153.630353, 258080.000000, 1.000000, 2, 0.000061, 50630.726071, 50630.726071
Z3, 11, 1, 720, 17344.000000, 0.051015, 339978.437714, 340072.000000, 1.000000, 2, 0.000061, 67995.687543, 67995.687543
Z3, 12, 1, 720, 16912.000000, 0.050995, 331640.356898, 338240.000000, 1.000000, 2, 0.000061, 66328.071380, 66328.071380
Z3, 13, 1, 720, 13240.000000, 0.050963, 259796.322822, 264800.000000, 1.000000, 2, 0.000061, 51959.264564, 51959.264564
Z3, 14, 1, 720, 28328.000000, 0.050977, 555701.590914, 566560.000000, 1.000000, 2, 0.000061, 111140.318183, 111140.318183
Z3, 15, 1, 720, 30528.000000, 0.050969, 598952.304342, 610560.000000, 1.000000, 2, 0.000061, 119790.460868, 119790.460868
Z3, 16, 1, 720, 16360.000000, 0.050933, 321206.290617, 327200.000000, 1.000000, 2, 0.000061, 64241.258123, 64241.258123
Z3, 17, 1, 720, 33216.000000, 0.051091, 650134.074495, 651288.000000, 1.000000, 2, 0.000061, 130026.814899, 130026.814899
Z3, 18, 1, 720, 28000.000000, 0.050983, 549202.675402, 560000.000000, 1.000000, 2, 0.000061, 109840.535080, 109840.535080
Z3, 19, 1, 720, 15744.000000, 0.050847, 309634.786713, 314880.000000, 1.000000, 2, 0.000061, 61926.957343, 61926.957343
Z3, 20, 1, 720, 16024.000000, 0.050973, 314362.505640, 320480.000000, 1.000000, 2, 0.000061, 62872.501128, 62872.501128
Z3, 21, 1, 720, 11576.000000, 0.050970, 227113.988621, 231520.000000, 1.000000, 2, 0.000061, 45422.797724, 45422.797724
Z3, 22, 1, 720, 10816.000000, 0.050937, 212340.734633, 216320.000000, 1.000000, 2, 0.000061, 42468.146927, 42468.146927
Z3, 23, 1, 720, 13224.000000, 0.050981, 259390.753418, 264480.000000, 1.000000, 2, 0.000061, 51878.150684, 51878.150684
Z3, 24, 1, 720, 17528.000000, 0.050986, 343780.645667, 350560.000000, 1.000000, 2, 0.000061, 68756.129133, 68756.129133
Z3, 25, 1, 720, 23824.000000, 0.050958, 467522.273245, 476480.000000, 1.000000, 2, 0.000061, 93504.454649, 93504.454649
Z3, 26, 1, 720, 11024.000000, 0.050920, 216496.465043, 220480.000000, 1.000000, 2, 0.000061, 43299.293009, 43299.293009
Z3, 27, 1, 720, 15112.000000, 0.050957, 296563.769453, 302240.000000, 1.000000, 2, 0.000061, 59312.753891, 59312.753891
Z3, 28, 1, 720, 24552.000000, 0.050953, 481855.827920, 491040.000000, 1.000000, 2, 0.000061, 96371.165584, 96371.165584
Z3, 29, 1, 720, 10824.000000, 0.050858, 212827.873688, 216480.000000, 1.000000, 2, 0.000061, 42565.574738, 42565.574738
Z3, 30, 1, 720, 6872.000000, 0.051028, 134671.160931, 134744.000000, 1.000000, 2, 0.000061, 26934.232186, 26934.232186
Z3, 31, 1, 720, 6872.000000, 0.050991, 134768.880783, 137440.000000, 1.000000, 2, 0.000061, 26953.776157, 26953.776157
Z3, 32, 1, 720, 6376.000000, 0.051027, 124953.456013, 125016.000000, 1.000000, 2, 0.000061, 24990.691203, 24990.691203
Z3, 33, 1, 720, 6872.000000, 0.050858, 135121.318180, 137440.000000, 1.000000, 2, 0.000061, 27024.263636, 27024.263636
Z3, 34, 1, 720, 6872.000000, 0.051176, 134281.694544, 134744.000000, 1.000000, 2, 0.000061, 26856.338909, 26856.338909
Z3, 35, 1, 720, 6376.000000, 0.051111, 124748.097278, 125016.000000, 1.000000, 2, 0.000061, 24949.619456, 24949.619456
Z3, 36, 1, 720, 6872.000000, 0.051011, 134716.041638, 134744.000000, 1.000000, 2, 0.000061, 26943.208328, 26943.208328
Z3, 37, 1, 720, 6872.000000, 0.051070, 134560.407284, 134744.000000, 1.000000, 2, 0.000061, 26912.081457, 26912.081457
Z3, 38, 1, 720, 6376.000000, 0.051069, 124850.692201, 125016.000000, 1.000000, 2, 0.000061, 24970.138440, 24970.138440
